disease,model,term,coef,odds_ratio,coef_ci_low,coef_ci_high,or_ci_low,or_ci_high,bootstrap_valid_draws
acute flare-up of triaditis/chronic enteropathy,model_1_moon_only_circular,_moon_sin,-0.08189311244132455,0.9213704364698205,-0.4297478300838607,0.24809630493113696,0.6506731542317477,1.2815833490472763,2000
acute flare-up of triaditis/chronic enteropathy,model_1_moon_only_circular,_moon_cos,0.08092963456314123,1.0842945970193634,-0.2720215928225826,0.4516559073059146,0.76183781068355,1.570911316462152,2000
acute flare-up of triaditis/chronic enteropathy,model_2_plus_sex_neuter,_moon_sin,-0.09810872368408546,0.9065503349034141,-0.4652213899082447,0.2509098096958047,0.627996057808749,1.28519416705109,2000
acute flare-up of triaditis/chronic enteropathy,model_2_plus_sex_neuter,_moon_cos,0.16851776936519447,1.1835492575769904,-0.1785500521838504,0.5316889891104942,0.8364821880693237,1.7018042114108263,2000
acute flare-up of triaditis/chronic enteropathy,model_2_plus_sex_neuter,sex_neuter_female_neutered,1.2154007346683844,3.3716449286468366,0.6188346101738254,1.8451268004594217,1.8567629278647297,6.3289022472376315,2000
acute flare-up of triaditis/chronic enteropathy,model_2_plus_sex_neuter,sex_neuter_male_intact,0.030840239408577292,1.0313207263152095,-0.8385691291677023,0.7291510429027037,0.43232868757610543,2.073319700837715,2000
acute flare-up of triaditis/chronic enteropathy,model_2_plus_sex_neuter,sex_neuter_male_neutered,0.9870369330775803,2.6832719670475513,0.4190651584762227,1.5827800281188484,1.5205394275945832,4.868471503205567,2000
acute flare-up of triaditis/chronic enteropathy,model_2_plus_sex_neuter,sex_neuter_unknown_intact,-0.19029505177838363,0.8267151741723937,-0.5226166390884832,0.0,0.5929669357731099,1.0,2000
acute flare-up of triaditis/chronic enteropathy,model_3_plus_seasonality,_moon_sin,-0.05768156809990415,0.9439504835301863,-0.4284416879691716,0.27398659988132806,0.6515235811096648,1.315197178322377,2000
acute flare-up of triaditis/chronic enteropathy,model_3_plus_seasonality,_moon_cos,0.045295456880840336,1.0463369616983544,-0.3049008661608017,0.4311305698689375,0.7371964518838603,1.5389964834077863,2000
acute flare-up of triaditis/chronic enteropathy,model_3_plus_seasonality,_season_sin,0.26742975329193397,1.3066018421340708,0.028024668506598963,0.5297903224452675,1.0284210537200627,1.6985761179903185,2000
acute flare-up of triaditis/chronic enteropathy,model_3_plus_seasonality,_season_cos,0.09193705366005551,1.0962958121000088,-0.16239940126837393,0.33259671061231944,0.8501016050672068,1.3945847638098332,2000
acute flare-up of triaditis/chronic enteropathy,model_4_full,_moon_sin,-0.08526457458684303,0.9182693015382644,-0.42413616970112483,0.2662352293330832,0.6543347752713998,1.3050420067448112,2000
acute flare-up of triaditis/chronic enteropathy,model_4_full,_moon_cos,0.03003567406083581,1.0304912951069556,-0.08811323080397461,0.15687216793626454,0.9156571902533677,1.1698460605060903,2000
acute flare-up of triaditis/chronic enteropathy,model_4_full,_moon_fraction,-0.07087948306623713,0.9315741558234506,-0.2580636644530737,0.1029196733493657,0.7725460468197224,1.1084023712499622,2000
acute flare-up of triaditis/chronic enteropathy,model_4_full,_season_sin,0.20605549966425596,1.2288214012780327,-0.038713177750621025,0.4585483308411563,0.9620266002120625,1.5817761019316607,2000
acute flare-up of triaditis/chronic enteropathy,model_4_full,_season_cos,0.1582950590268495,1.171511808851138,-0.1015300881665751,0.4227502978225209,0.9034539956589548,1.5261531646154018,2000
acute flare-up of triaditis/chronic enteropathy,model_4_full,sex_neuter_female_neutered,1.1837578519029324,3.266626666233657,0.5717599205339133,1.7925419340882593,1.771381800978889,6.004696626394157,2000
acute flare-up of triaditis/chronic enteropathy,model_4_full,sex_neuter_male_intact,0.03542108328938865,1.0360558827795026,-0.8546222654706981,0.8024308698437779,0.4254438655725186,2.230957509656265,2000
acute flare-up of triaditis/chronic enteropathy,model_4_full,sex_neuter_male_neutered,1.0221698034904136,2.7792185845328228,0.44349372480227117,1.6504209422922904,1.558141437536653,5.209172126587609,2000
acute flare-up of triaditis/chronic enteropathy,model_4_full,sex_neuter_unknown_intact,-0.15745987540679568,0.8543110918058042,-0.4571080606111928,0.0,0.6331119219049379,1.0,2000
acute gastroenteritis,model_1_moon_only_circular,_moon_sin,0.29379052005502226,1.3415028562865818,-0.08372057596963393,0.6782490534172806,0.9196882031792704,1.970424601766207,2000
acute gastroenteritis,model_1_moon_only_circular,_moon_cos,0.004061149461169707,1.004069407103365,-0.3996434949269921,0.420904628029188,0.6705590611351062,1.5233389876390646,2000
acute gastroenteritis,model_2_plus_sex_neuter,_moon_sin,0.30574934603998327,1.3576419655608136,-0.10032538916895146,0.6941992583558498,0.904543041636512,2.00210526284777,2000
acute gastroenteritis,model_2_plus_sex_neuter,_moon_cos,-0.011587970398523183,0.9884789115392051,-0.4361660608150782,0.41764378733510016,0.6465103569839613,1.5183797119755935,2000
acute gastroenteritis,model_2_plus_sex_neuter,sex_neuter_female_neutered,-0.4737632306177495,0.6226546606754984,-1.2151645682858725,0.2512827294948984,0.29666118925322854,1.2856735307782203,2000
acute gastroenteritis,model_2_plus_sex_neuter,sex_neuter_male_intact,0.09907146825115168,1.1041452080661598,-0.6930448071832044,0.8566949822200706,0.500051189308537,2.3553632979597268,2000
acute gastroenteritis,model_2_plus_sex_neuter,sex_neuter_male_neutered,-0.4161053987035779,0.6596107447031321,-1.0799682959067054,0.2977466818384035,0.33960629238384055,1.3468205705521732,2000
acute gastroenteritis,model_2_plus_sex_neuter,sex_neuter_unknown_intact,-0.33378345406185284,0.7162088575551049,-0.8696430524786027,0.0,0.41910111965753394,1.0,2000
acute gastroenteritis,model_3_plus_seasonality,_moon_sin,0.29477022773028533,1.3428177809469892,-0.08777943029785346,0.6974193209364927,0.9159628881051181,2.0085625579548134,2000
acute gastroenteritis,model_3_plus_seasonality,_moon_cos,0.033777301772245076,1.0343542322226862,-0.3925892265749555,0.504869397149282,0.6753060884150041,1.6567691275593526,2000
acute gastroenteritis,model_3_plus_seasonality,_season_sin,-0.3614954435118862,0.6966337702717579,-0.6996411757568297,-0.0739771567815472,0.4967635226099161,0.9286929079339586,2000
acute gastroenteritis,model_3_plus_seasonality,_season_cos,-0.2166047997981845,0.8052481406578685,-0.5468794634999229,0.08202217847108591,0.5787530153426796,1.0854798838468038,2000
acute gastroenteritis,model_4_full,_moon_sin,0.3160665964081875,1.3717216043161424,-0.06976678790617065,0.7222593365693946,0.9326112907783951,2.0590801142089377,2000
acute gastroenteritis,model_4_full,_moon_cos,0.00942135555846151,1.0094658762339392,-0.13955345654866771,0.16605938565165548,0.8697465283140621,1.1806432129080273,2000
acute gastroenteritis,model_4_full,_moon_fraction,-0.0030333193060190573,0.996971276558904,-0.23488360168117284,0.21347611091125415,0.7906628761023056,1.2379739238459027,2000
acute gastroenteritis,model_4_full,_season_sin,-0.3380158505165573,0.7131839834741536,-0.6960366664614442,-0.0593604928551787,0.49855734232250487,0.9423669913497056,2000
acute gastroenteritis,model_4_full,_season_cos,-0.2806147924972689,0.755319234084375,-0.6056628373677636,0.007025325908014388,0.5457125880374738,1.0070500614011104,2000
acute gastroenteritis,model_4_full,sex_neuter_female_neutered,-0.5501161415766995,0.5768828064108813,-1.3814843861958694,0.25910095668852584,0.2512053903557201,1.2957646143294619,2000
acute gastroenteritis,model_4_full,sex_neuter_male_intact,-0.05895758872907066,0.9427467513971363,-0.8896035799408909,0.7109796086354534,0.4108185772014316,2.035984750309563,2000
acute gastroenteritis,model_4_full,sex_neuter_male_neutered,-0.5935605894937801,0.5523570624861907,-1.3120465268713055,0.14482590685110758,0.26926842704354437,1.155838329216842,2000
acute gastroenteritis,model_4_full,sex_neuter_unknown_intact,-0.39823592874654595,0.6715035819734023,-1.0268091217273028,0.0,0.3581479457271065,1.0,2000
