variant,n,env_ovr_auc_mean,env_holdout_auc_mean,parvo_env_auc
original_d7_twice,315,0.5503244370931848,0.6153768246621704,0.6200430228208005
d7_first_only,314,0.5802338067928453,0.612532271459,0.6850972689861579
d7_second_only,314,0.5738680680567505,0.6305435981764671,0.6930826786382343
no_d7,313,0.5619629823634812,0.5690642362739886,0.6710175832398055
