track,consequent_name,antecedents,support,support_count,confidence,lift,baseline_prevalence,leverage,conviction
cluster_k6,cluster_combined_k6=5,"precipitation_hours_mean_13d_high, snowfall_sum_mean_13d_low",0.050955414012738856,16,0.4,5.024000000000001,0.07961783439490445,0.04081301472676377,1.5339702760084926
cluster_k6,cluster_combined_k6=5,"precipitation_hours_peak_7d_high, precipitation_sum_mean_13d_high",0.054140127388535034,17,0.3617021276595745,4.542978723404256,0.07961783439490445,0.0422228082275143,1.441932059447983
cluster_k6,cluster_combined_k6=5,"precipitation_hours_mean_13d_high, precipitation_hours_peak_7d_high",0.050955414012738856,16,0.3137254901960785,3.940392156862746,0.07961783439490445,0.03802385492312062,1.3411282984531392
cluster_k6,cluster_combined_k6=5,"precipitation_hours_mean_7d_high, precipitation_sum_mean_7d_high",0.050955414012738856,16,0.3137254901960785,3.940392156862746,0.07961783439490445,0.03802385492312062,1.3411282984531392
cluster_k6,cluster_combined_k6=5,"precipitation_hours_mean_13d_high, precipitation_hours_mean_7d_high",0.05732484076433121,18,0.3103448275862069,3.897931034482759,0.07961783439490445,0.04261836179966733,1.3345541401273884
cluster_k6,cluster_combined_k6=5,"precipitation_hours_mean_13d_high, precipitation_sum_mean_13d_high",0.050955414012738856,16,0.3076923076923077,3.864615384615385,0.07961783439490445,0.03777029494097124,1.3294409058740269
cluster_k6,cluster_combined_k6=5,"precipitation_hours_peak_7d_high, precipitation_sum_mean_7d_high",0.050955414012738856,16,0.30188679245283023,3.791698113207548,0.07961783439490445,0.037516734958821865,1.318385264245137
cluster_k6,cluster_combined_k6=5,"precipitation_hours_peak_7d_high, snowfall_sum_mean_13d_low",0.050955414012738856,16,0.30188679245283023,3.791698113207548,0.07961783439490445,0.037516734958821865,1.318385264245137
cluster_k6,cluster_combined_k6=5,"precipitation_sum_mean_13d_high, precipitation_sum_mean_7d_high",0.050955414012738856,16,0.30188679245283023,3.791698113207548,0.07961783439490445,0.037516734958821865,1.318385264245137
cluster_k6,cluster_combined_k6=5,"precipitation_sum_mean_7d_high, snowfall_sum_mean_13d_low",0.054140127388535034,17,0.29824561403508776,3.7459649122807024,0.07961783439490445,0.03968720840602053,1.3115445859872612
cluster_k6,cluster_combined_k6=2,"precipitation_sum_mean_13d_high, wind_direction_10m_dominant_mean_13d_high, wind_gusts_10m_max_mean_13d_high",0.050955414012738856,16,0.8421052631578948,3.5256140350877194,0.23885350318471338,0.036502495030224354,4.8205944798301505
cluster_k6,cluster_combined_k6=5,"precipitation_sum_mean_13d_high, snowfall_sum_mean_13d_low",0.054140127388535034,17,0.27419354838709675,3.4438709677419355,0.07961783439490445,0.038419408495273644,1.2680820948336873
cluster_k6,cluster_combined_k6=2,"precipitation_hours_mean_13d_high, surface_pressure_max_mean_13d_low, wind_gusts_10m_max_mean_13d_high",0.050955414012738856,16,0.8,3.3493333333333335,0.23885350318471338,0.03574181508377622,3.8057324840764335
cluster_k6,cluster_combined_k6=2,"wind_direction_10m_dominant_mean_13d_high, wind_gusts_10m_max_day1_high, wind_gusts_10m_max_mean_13d_high",0.050955414012738856,16,0.8,3.3493333333333335,0.23885350318471338,0.03574181508377622,3.8057324840764335
cluster_k6,cluster_combined_k6=2,"precipitation_sum_mean_13d_high, wind_gusts_10m_max_mean_13d_high",0.07643312101910828,24,0.7741935483870966,3.2412903225806446,0.23885350318471338,0.05285204267921619,3.37079162875341
cluster_k6,cluster_combined_k6=2,"precipitation_hours_peak_7d_high, precipitation_sum_mean_13d_high, wind_gusts_10m_max_mean_13d_high",0.054140127388535034,17,0.7727272727272728,3.2351515151515153,0.23885350318471338,0.03740516856667614,3.3490445859872624
cluster_k6,cluster_combined_k6=2,"precipitation_hours_peak_7d_high, precipitation_sum_mean_7d_high, wind_gusts_10m_max_mean_13d_high",0.054140127388535034,17,0.7727272727272728,3.2351515151515153,0.23885350318471338,0.03740516856667614,3.3490445859872624
cluster_k6,cluster_combined_k6=2,"wind_gusts_10m_max_day1_high, wind_gusts_10m_max_mean_13d_high, wind_gusts_10m_max_peak_14d_high",0.054140127388535034,17,0.7727272727272728,3.2351515151515153,0.23885350318471338,0.03740516856667614,3.3490445859872624
cluster_k6,cluster_combined_k6=2,"precipitation_sum_mean_7d_high, wind_gusts_10m_max_mean_13d_high",0.06369426751592357,20,0.7692307692307693,3.2205128205128206,0.23885350318471338,0.043916588908272144,3.2983014861995756
cluster_k6,cluster_combined_k6=5,precipitation_hours_mean_13d_high,0.06687898089171974,21,0.25609756097560976,3.2165853658536587,0.07961783439490445,0.04608706235547081,1.237235042288817
cluster_k6,cluster_combined_k6=2,"precipitation_hours_peak_7d_high, wind_direction_10m_dominant_peak_14d_low",0.050955414012738856,16,0.761904761904762,3.18984126984127,0.23885350318471338,0.03498113513732809,3.1968152866242043
cluster_k6,cluster_combined_k6=2,"precipitation_hours_peak_7d_high, precipitation_sum_mean_7d_high, surface_pressure_max_mean_13d_low",0.050955414012738856,16,0.761904761904762,3.18984126984127,0.23885350318471338,0.03498113513732809,3.1968152866242043
cluster_k6,cluster_combined_k6=2,"precipitation_sum_mean_13d_high, wind_gusts_10m_max_mean_13d_high, wind_gusts_10m_max_peak_14d_high",0.06050955414012739,19,0.76,3.1818666666666666,0.23885350318471338,0.041492555478924095,3.1714437367303607
cluster_k6,cluster_combined_k6=2,"precipitation_hours_peak_7d_high, wind_gusts_10m_max_mean_13d_high, wind_gusts_10m_max_mean_7d_high",0.05732484076433121,18,0.75,3.14,0.23885350318471338,0.039068522049576046,3.0445859872611463
cluster_k6,cluster_combined_k6=5,precipitation_hours_mean_7d_high,0.06369426751592357,20,0.25,3.14,0.07961783439490445,0.04340946894397339,1.227176220806794
cluster_k6,cluster_combined_k6=2,"precipitation_hours_peak_7d_high, wind_gusts_10m_max_mean_13d_high",0.08280254777070063,26,0.7428571428571428,3.1100952380952376,0.23885350318471338,0.05617874964501602,2.960014154281669
cluster_k6,cluster_combined_k6=2,"precipitation_sum_mean_13d_high, wind_gusts_10m_max_mean_13d_high, wind_gusts_10m_max_mean_7d_high",0.054140127388535034,17,0.7391304347826088,3.0944927536231885,0.23885350318471338,0.036644488620228004,2.9177282377919327
cluster_k6,cluster_combined_k6=2,"precipitation_hours_mean_13d_high, precipitation_hours_peak_7d_high, wind_gusts_10m_max_mean_13d_high",0.050955414012738856,16,0.7272727272727273,3.044848484848485,0.23885350318471338,0.03422045519087996,2.790870488322718
cluster_k6,cluster_combined_k6=2,"precipitation_hours_mean_7d_high, precipitation_sum_mean_7d_high, wind_gusts_10m_max_mean_13d_high",0.050955414012738856,16,0.7272727272727273,3.044848484848485,0.23885350318471338,0.03422045519087996,2.790870488322718
cluster_k6,cluster_combined_k6=5,precipitation_sum_mean_7d_high,0.06050955414012739,19,0.24050632911392406,3.0207594936708864,0.07961783439490445,0.04047831555032659,1.211836518046709
cluster_k6,cluster_combined_k6=2,"precipitation_hours_mean_7d_high, precipitation_hours_peak_7d_high, wind_gusts_10m_max_mean_13d_high",0.05732484076433121,18,0.7200000000000001,3.0144,0.23885350318471338,0.03830784210312792,2.7183803457688813
cluster_k6,cluster_combined_k6=2,"precipitation_hours_mean_13d_high, wind_gusts_10m_max_mean_7d_high, wind_gusts_10m_max_peak_14d_high",0.06369426751592357,20,0.7142857142857143,2.9904761904761905,0.23885350318471338,0.042395229015375874,2.6640127388535033
cluster_k6,cluster_combined_k6=2,"precipitation_hours_mean_2d_high, wind_direction_10m_dominant_mean_13d_high",0.054140127388535034,17,0.7083333333333334,2.9655555555555555,0.23885350318471338,0.03588380867377987,2.6096451319381258
cluster_k6,cluster_combined_k6=2,"precipitation_hours_mean_13d_high, precipitation_sum_mean_13d_high, wind_gusts_10m_max_mean_13d_high",0.054140127388535034,17,0.7083333333333334,2.9655555555555555,0.23885350318471338,0.03588380867377987,2.6096451319381258
cluster_k6,cluster_combined_k6=2,"precipitation_hours_peak_7d_high, wind_gusts_10m_max_mean_7d_high, wind_gusts_10m_max_peak_14d_high",0.054140127388535034,17,0.7083333333333334,2.9655555555555555,0.23885350318471338,0.03588380867377987,2.6096451319381258
cluster_k6,cluster_combined_k6=2,"wind_gusts_10m_max_day1_high, wind_gusts_10m_max_mean_7d_high, wind_gusts_10m_max_peak_14d_high",0.054140127388535034,17,0.7083333333333334,2.9655555555555555,0.23885350318471338,0.03588380867377987,2.6096451319381258
cluster_k6,cluster_combined_k6=2,"wind_direction_10m_dominant_mean_13d_high, wind_gusts_10m_max_mean_13d_high, wind_gusts_10m_max_peak_14d_high",0.06050955414012739,19,0.7037037037037037,2.946172839506173,0.23885350318471338,0.03997119558602783,2.568869426751592
cluster_k6,cluster_combined_k6=2,"precipitation_hours_peak_14d_high, wind_gusts_10m_max_mean_13d_high",0.050955414012738856,16,0.6956521739130436,2.912463768115942,0.23885350318471338,0.033459775244431826,2.500909918107371
cluster_k6,cluster_combined_k6=2,"precipitation_hours_mean_13d_high, precipitation_hours_peak_7d_high, surface_pressure_max_mean_13d_low",0.050955414012738856,16,0.6956521739130436,2.912463768115942,0.23885350318471338,0.033459775244431826,2.500909918107371
cluster_k6,cluster_combined_k6=2,"precipitation_hours_mean_13d_high, precipitation_hours_peak_7d_high, wind_gusts_10m_max_peak_14d_high",0.050955414012738856,16,0.6956521739130436,2.912463768115942,0.23885350318471338,0.033459775244431826,2.500909918107371
cluster_k6,cluster_combined_k6=2,"precipitation_hours_mean_13d_high, precipitation_sum_mean_13d_high, wind_gusts_10m_max_peak_14d_high",0.050955414012738856,16,0.6956521739130436,2.912463768115942,0.23885350318471338,0.033459775244431826,2.500909918107371
cluster_k6,cluster_combined_k6=2,"precipitation_hours_mean_7d_high, precipitation_sum_mean_7d_high, surface_pressure_max_mean_13d_low",0.050955414012738856,16,0.6956521739130436,2.912463768115942,0.23885350318471338,0.033459775244431826,2.500909918107371
