,precision,recall,f1-score,support
acute flare-up of triaditis/chronic enteropathy,0.29411764705882354,0.2777777777777778,0.2857142857142857,18.0
acute gastroenteritis,0.6,0.25,0.35294117647058826,12.0
acute pancreatitis,0.4117647058823529,0.56,0.4745762711864407,25.0
parvovirus enteritis,0.5714285714285714,0.5,0.5333333333333333,8.0
accuracy,0.4126984126984127,0.4126984126984127,0.4126984126984127,0.4126984126984127
macro avg,0.4693277310924369,0.39694444444444443,0.41164126667616197,63.0
weighted avg,0.4342803788181939,0.4126984126984127,0.40490832867987114,63.0
