,precision,recall,f1-score,support
acute flare-up of triaditis/chronic enteropathy,0.26666666666666666,0.2222222222222222,0.24242424242424243,18.0
acute gastroenteritis,0.5714285714285714,0.3333333333333333,0.42105263157894735,12.0
acute pancreatitis,0.4166666666666667,0.6,0.4918032786885246,25.0
parvovirus enteritis,0.6,0.375,0.46153846153846156,8.0
accuracy,0.4126984126984127,0.4126984126984127,0.4126984126984127,0.4126984126984127
macro avg,0.4636904761904762,0.38263888888888886,0.404204653557544,63.0
weighted avg,0.4265684051398337,0.4126984126984127,0.4032326603508657,63.0
