variable,missing_n,missing_pct
et0_fao_evapotranspiration__peak_7d,0,0.0
et0_fao_evapotranspiration__peak_14d,0,0.0
uv_index_max__day1,0,0.0
uv_index_max__mean_2d,0,0.0
uv_index_max__mean_3d,0,0.0
uv_index_max__mean_7d,0,0.0
uv_index_max__mean_13d,0,0.0
uv_index_max__peak_7d,0,0.0
uv_index_max__peak_14d,0,0.0
surface_pressure_max__day1,0,0.0
surface_pressure_max__mean_2d,0,0.0
surface_pressure_max__mean_3d,0,0.0
surface_pressure_max__mean_7d,0,0.0
surface_pressure_max__mean_13d,0,0.0
surface_pressure_max__peak_7d,0,0.0
surface_pressure_max__peak_14d,0,0.0
body weight__missing,0,0.0
hospitalization time (days)__missing,0,0.0
initial hematocrit__missing,0,0.0
leukocyte count__missing,0,0.0
neutrophil count (x 10^9/L)__missing,0,0.0
lymphocyte count__missing,0,0.0
Initial total protein concentration (in g/l)__missing,0,0.0
Albumin concentration (in g/l)__missing,0,0.0
CREA concentration __missing,0,0.0
BUN concentration__missing,0,0.0
K value__missing,0,0.0
Na value__missing,0,0.0
Cl value__missing,0,0.0
moon_phase_fraction_illuminated,0,0.0
moon_phase_angle_deg,0,0.0
moon_phase_category,0,0.0
is_full_moon,0,0.0
is_new_moon,0,0.0
eda3_month,0,0.0
eda3_weekday,0,0.0
eda3_season,0,0.0
moon_phase_sin,0,0.0
moon_phase_cos,0,0.0
