disease,feature_block,feature,mean_abs_shap,std_abs_shap,n_folds
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__Na interpreatation_lower limit,0.024014151785958636,0.03960701150099596,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__K interpreatation_lower limit,0.021909486189649354,0.014407532001583194,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__leukocyte count interpreatation_lower limit,0.020720388332546465,0.04363440185829553,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__Albumin interpretation_increased,0.01974289107128677,0.03750872362036341,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,num__initial hematocrit__missing,0.019390557048793465,0.024885525259316626,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__hematocrit interpretation_physiological,0.016257260550400547,0.02667937291506725,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__neutrophil count interpretation_physiological,0.01523192744999321,0.010873077514778211,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__Cl interpreatation_physiological,0.01426778350189684,0.021554170841982908,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__leukocyte count interpreatation_physiological,0.013209061828017774,0.010836784766263732,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__CREA interpretation_upper limit,0.012400068381668725,0.021482840072213048,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__fecal examination_negative,0.011783480997495235,0.012790655375634626,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__Cl interpreatation_upper limit,0.011605510637060987,0.011143881097616153,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__Na interpreatation_physiological,0.009151317690095402,0.008482020289933565,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__hematocrit interpretation_upper limit,0.008879386481983852,0.008415789961628603,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__K interpreatation_Missing,0.008572221536750793,0.019168070074362487,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,num__lymphocyte count__missing,0.008523706666262823,0.011671569255830148,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,num__K value__missing,0.008379846638910612,0.011582300027966412,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,num__Albumin concentration (in g/l)__missing,0.0070036438324193265,0.009598895344772948,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,num__Cl value__missing,0.006859906663266327,0.004754450655911717,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__left shift_Missing,0.006656559817757551,0.007513241858560962,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__neutrophil count interpretation_lower limit,0.005571749356098822,0.00847332634755057,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__neutrophil count interpretation_increased,0.005351544625736471,0.0073388550905275594,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__Cl interpreatation_increased,0.004771133086055666,0.007067237385444597,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,num__leukocyte count__missing,0.004544706775773945,0.004217865455734069,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__K interpreatation_decreased,0.0038426953405724567,0.00859252799834172,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__CREA interpretation_increased,0.0038071273372824363,0.006124694623950479,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__initial total protein interpreatation_physiological,0.003617769005981196,0.008089577424265797,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__Na interpreatation_upper limit,0.0031692561083052338,0.004397739915910914,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__Cl interpreatation_Missing,0.0022994570784329463,0.005141742338719134,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__Albumin interpretation_Missing,0.001703834815537627,0.003809890469972949,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,num__Initial total protein concentration (in g/l)__missing,0.001531201216494145,0.0034238700073112804,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,num__BUN concentration__missing,0.0008644085365959906,0.0019328762481597497,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__Albumin interpretation_decreased,0.0,0.0,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__BARF diet_no,0.0,0.0,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__BARF diet_nono,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__BARF diet_yes ,0.0,0.0,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__BUN interpreattion_Missing,0.0,0.0,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__BUN interpreattion_decreased,0.0,0.0,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__CREA interpretation_Missing,0.0,0.0,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__CREA interpretation_decreased,0.0,0.0,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__Cl interpreatation_decreased,0.0,0.0,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__Cl interpreatation_lower limit,0.0,0.0,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__K interpreatation_increased,0.0,0.0,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__K interpreatation_physiological,0.0,0.0,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__K interpreatation_upper limit,0.0,0.0,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__Na interpreatation_Missing,0.0,0.0,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__Na interpreatation_increased,0.0,0.0,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__breed_Abessinier,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__breed_BKH,0.0,0.0,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__breed_BKH-Mischling,0.0,0.0,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__breed_Bengalkatze,0.0,0.0,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__breed_Birma,0.0,0.0,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__breed_Brit. Kurzhaar,0.0,0.0,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__breed_Britisch Langhaar,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__breed_Burma,0.0,0.0,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__breed_Colourpoint,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__breed_Devon Rex,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__breed_EKH-Mischling,0.0,0.0,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__breed_Exotic Shorthair,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__breed_Heilige Birma,0.0,0.0,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__breed_Kartäuser,0.0,0.0,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__breed_Kartäuser-Mischling,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__breed_Maine Coon,0.0,0.0,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__breed_Maine Coon-Mischling,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__breed_Mischling,0.0,0.0,4
