,precision,recall,f1-score,support
acute flare-up of triaditis/chronic enteropathy,0.2,0.1111111111111111,0.14285714285714285,18.0
acute gastroenteritis,0.7777777777777778,0.5833333333333334,0.6666666666666666,12.0
acute pancreatitis,0.4594594594594595,0.68,0.5483870967741935,25.0
parvovirus enteritis,0.8571428571428571,0.75,0.8,8.0
accuracy,0.5079365079365079,0.5079365079365079,0.5079365079365079,0.5079365079365079
macro avg,0.5735950235950236,0.5311111111111111,0.5394777265745008,63.0
weighted avg,0.49645972503115365,0.5079365079365079,0.4870016823933874,63.0
