disease,perm_idx,perm_mean_auc
acute flare-up of triaditis/chronic enteropathy,88,0.5657331258170312
acute flare-up of triaditis/chronic enteropathy,89,0.5687489037482949
acute flare-up of triaditis/chronic enteropathy,90,0.4311921366591286
acute flare-up of triaditis/chronic enteropathy,91,0.4681300680029342
acute flare-up of triaditis/chronic enteropathy,92,0.44362334393656583
acute flare-up of triaditis/chronic enteropathy,93,0.45620612965621676
acute flare-up of triaditis/chronic enteropathy,94,0.5081191789139445
acute flare-up of triaditis/chronic enteropathy,95,0.5535664998396419
acute flare-up of triaditis/chronic enteropathy,96,0.5267479515527256
acute flare-up of triaditis/chronic enteropathy,97,0.4169845809490365
acute flare-up of triaditis/chronic enteropathy,98,0.4946723980358355
acute flare-up of triaditis/chronic enteropathy,99,0.5739642640800552
acute flare-up of triaditis/chronic enteropathy,100,0.46616578433202865
acute flare-up of triaditis/chronic enteropathy,101,0.3966098463078143
acute flare-up of triaditis/chronic enteropathy,102,0.544621632974977
acute flare-up of triaditis/chronic enteropathy,103,0.5481040405230857
acute flare-up of triaditis/chronic enteropathy,104,0.4433436733950213
acute flare-up of triaditis/chronic enteropathy,105,0.49077762529543467
acute flare-up of triaditis/chronic enteropathy,106,0.5194007966776846
acute flare-up of triaditis/chronic enteropathy,107,0.5232324260045254
acute flare-up of triaditis/chronic enteropathy,108,0.5515635197944597
acute flare-up of triaditis/chronic enteropathy,109,0.4336568244821518
acute flare-up of triaditis/chronic enteropathy,110,0.5699793065710141
acute flare-up of triaditis/chronic enteropathy,111,0.5435484193462251
acute flare-up of triaditis/chronic enteropathy,112,0.4565248125922733
acute flare-up of triaditis/chronic enteropathy,113,0.5261584650643478
acute flare-up of triaditis/chronic enteropathy,114,0.5103971869913377
acute flare-up of triaditis/chronic enteropathy,115,0.5140932035952079
acute flare-up of triaditis/chronic enteropathy,116,0.46061981479859015
acute flare-up of triaditis/chronic enteropathy,117,0.6515199129358364
acute flare-up of triaditis/chronic enteropathy,118,0.49099722490757625
acute flare-up of triaditis/chronic enteropathy,119,0.505438754100991
acute flare-up of triaditis/chronic enteropathy,120,0.5554772333248839
acute flare-up of triaditis/chronic enteropathy,121,0.4476867758092248
acute flare-up of triaditis/chronic enteropathy,122,0.6109076639659584
acute flare-up of triaditis/chronic enteropathy,123,0.4822179257569205
acute flare-up of triaditis/chronic enteropathy,124,0.5113085770308371
acute flare-up of triaditis/chronic enteropathy,125,0.44912091016558586
acute flare-up of triaditis/chronic enteropathy,126,0.5201332856448204
acute flare-up of triaditis/chronic enteropathy,127,0.49477212328368453
acute flare-up of triaditis/chronic enteropathy,128,0.33442711169506134
acute flare-up of triaditis/chronic enteropathy,129,0.4887310129604846
acute flare-up of triaditis/chronic enteropathy,130,0.6106029254226419
acute flare-up of triaditis/chronic enteropathy,131,0.4356263633352748
acute flare-up of triaditis/chronic enteropathy,132,0.4807231284553481
acute flare-up of triaditis/chronic enteropathy,133,0.44483888436939384
acute flare-up of triaditis/chronic enteropathy,134,0.48334026431603994
acute flare-up of triaditis/chronic enteropathy,135,0.4832121650199125
acute flare-up of triaditis/chronic enteropathy,136,0.5044473091665378
acute flare-up of triaditis/chronic enteropathy,137,0.5177737183875816
acute flare-up of triaditis/chronic enteropathy,138,0.5145707978057521
acute flare-up of triaditis/chronic enteropathy,139,0.48284849072986064
acute flare-up of triaditis/chronic enteropathy,140,0.5353660589536241
acute flare-up of triaditis/chronic enteropathy,141,0.45380135263388494
acute flare-up of triaditis/chronic enteropathy,142,0.5783070836962709
acute flare-up of triaditis/chronic enteropathy,143,0.5414968312781996
acute flare-up of triaditis/chronic enteropathy,144,0.5211282642494726
acute flare-up of triaditis/chronic enteropathy,145,0.5177429281233856
acute flare-up of triaditis/chronic enteropathy,146,0.5381469124492242
acute flare-up of triaditis/chronic enteropathy,147,0.5664512803104446
acute flare-up of triaditis/chronic enteropathy,148,0.5212073746455005
acute flare-up of triaditis/chronic enteropathy,149,0.5396409922877254
acute flare-up of triaditis/chronic enteropathy,150,0.5231196649429252
acute flare-up of triaditis/chronic enteropathy,151,0.5366811913000058
acute flare-up of triaditis/chronic enteropathy,152,0.4998529173839733
acute flare-up of triaditis/chronic enteropathy,153,0.47249514464820164
acute flare-up of triaditis/chronic enteropathy,154,0.4982204884609677
acute flare-up of triaditis/chronic enteropathy,155,0.5025748689231218
acute flare-up of triaditis/chronic enteropathy,156,0.5352343858838224
acute flare-up of triaditis/chronic enteropathy,157,0.4744931800255556
acute flare-up of triaditis/chronic enteropathy,158,0.5921961364405703
acute flare-up of triaditis/chronic enteropathy,159,0.476402402246299
acute flare-up of triaditis/chronic enteropathy,160,0.4458575276669906
acute flare-up of triaditis/chronic enteropathy,161,0.5826527410521241
acute flare-up of triaditis/chronic enteropathy,162,0.46938672483934135
acute flare-up of triaditis/chronic enteropathy,163,0.5028094833863558
acute flare-up of triaditis/chronic enteropathy,164,0.4987197641242747
acute flare-up of triaditis/chronic enteropathy,165,0.5263546936162197
acute flare-up of triaditis/chronic enteropathy,166,0.5959033366030944
acute flare-up of triaditis/chronic enteropathy,167,0.5286635834495363
acute flare-up of triaditis/chronic enteropathy,168,0.46946050495409775
acute flare-up of triaditis/chronic enteropathy,169,0.49622412844970826
acute flare-up of triaditis/chronic enteropathy,170,0.5002354466811006
acute flare-up of triaditis/chronic enteropathy,171,0.5408671689280263
acute flare-up of triaditis/chronic enteropathy,172,0.5162218564971185
acute flare-up of triaditis/chronic enteropathy,173,0.5527568247993248
acute flare-up of triaditis/chronic enteropathy,174,0.4721948368331613
acute flare-up of triaditis/chronic enteropathy,175,0.4806790630534389
acute flare-up of triaditis/chronic enteropathy,176,0.54087847509852
acute flare-up of triaditis/chronic enteropathy,177,0.5165265555631842
acute flare-up of triaditis/chronic enteropathy,178,0.5479572168341406
acute flare-up of triaditis/chronic enteropathy,179,0.5973854851193323
acute flare-up of triaditis/chronic enteropathy,180,0.4619294670426079
acute flare-up of triaditis/chronic enteropathy,181,0.555957961225199
acute flare-up of triaditis/chronic enteropathy,182,0.5064824894166804
acute flare-up of triaditis/chronic enteropathy,183,0.5299642985788748
acute flare-up of triaditis/chronic enteropathy,184,0.51294219040436
acute flare-up of triaditis/chronic enteropathy,185,0.49273974760738737
acute flare-up of triaditis/chronic enteropathy,186,0.5303083539080982
acute flare-up of triaditis/chronic enteropathy,187,0.5330531009297138
acute flare-up of triaditis/chronic enteropathy,188,0.46373323540776734
acute flare-up of triaditis/chronic enteropathy,189,0.5160517596750692
acute flare-up of triaditis/chronic enteropathy,190,0.5197240164672687
acute flare-up of triaditis/chronic enteropathy,191,0.4936520877306987
acute flare-up of triaditis/chronic enteropathy,192,0.4828087026136415
acute flare-up of triaditis/chronic enteropathy,193,0.5813433082439555
acute flare-up of triaditis/chronic enteropathy,194,0.5104936571092267
acute flare-up of triaditis/chronic enteropathy,195,0.5466671612081649
acute flare-up of triaditis/chronic enteropathy,196,0.5124965505853467
acute flare-up of triaditis/chronic enteropathy,197,0.4797473515294195
acute flare-up of triaditis/chronic enteropathy,198,0.5485515793130281
acute flare-up of triaditis/chronic enteropathy,199,0.436916456796395
acute flare-up of triaditis/chronic enteropathy,200,0.5427924095480758
acute gastroenteritis,1,0.5079934842355558
acute gastroenteritis,2,0.4542988880932944
acute gastroenteritis,3,0.5463317854289365
acute gastroenteritis,4,0.5041826098429872
acute gastroenteritis,5,0.46779862532697003
acute gastroenteritis,6,0.5049949469557313
acute gastroenteritis,7,0.4971879789859132
acute gastroenteritis,8,0.5126802516758121
acute gastroenteritis,9,0.4322216959784451
acute gastroenteritis,10,0.43274848528476645
acute gastroenteritis,11,0.4622430685285295
acute gastroenteritis,12,0.56043611274091
acute gastroenteritis,13,0.510889776859894
acute gastroenteritis,14,0.5139901217030883
acute gastroenteritis,15,0.554952990858179
acute gastroenteritis,16,0.4665143146835824
acute gastroenteritis,17,0.47571757125045105
acute gastroenteritis,18,0.386575679687868
acute gastroenteritis,19,0.5596527475584759
acute gastroenteritis,20,0.597056038352149
acute gastroenteritis,21,0.5077491431920397
acute gastroenteritis,22,0.5287567322281259
acute gastroenteritis,23,0.5005997263573955
acute gastroenteritis,24,0.5554804998922647
acute gastroenteritis,25,0.3958757525333489
acute gastroenteritis,26,0.5447608080316729
acute gastroenteritis,27,0.44991512690681484
acute gastroenteritis,28,0.4563857107324959
acute gastroenteritis,29,0.5282137218415311
acute gastroenteritis,30,0.5701899082819375
acute gastroenteritis,31,0.5508827997969314
acute gastroenteritis,32,0.4489898469544328
acute gastroenteritis,33,0.48790600954433155
acute gastroenteritis,34,0.5637498809047429
acute gastroenteritis,35,0.4592360832329721
acute gastroenteritis,36,0.39209652386967775
acute gastroenteritis,37,0.5119722874921591
acute gastroenteritis,38,0.4857902169596698
acute gastroenteritis,39,0.37708607029916685
acute gastroenteritis,40,0.553725230618388
acute gastroenteritis,41,0.5961812189263169
acute gastroenteritis,42,0.5220350401304839
acute gastroenteritis,43,0.4760248384653467
acute gastroenteritis,44,0.46824255628177197
acute gastroenteritis,45,0.42445920745920745
acute gastroenteritis,46,0.5329711276848113
acute gastroenteritis,47,0.5304900606842099
acute gastroenteritis,48,0.4367543776945372
acute gastroenteritis,49,0.468136148345792
acute gastroenteritis,50,0.46515877595790284
acute gastroenteritis,51,0.4615707068609563
acute gastroenteritis,52,0.5176173271173272
acute gastroenteritis,53,0.5084314738969471
acute gastroenteritis,54,0.5756577402189648
acute gastroenteritis,55,0.4184800582525714
acute gastroenteritis,56,0.4880743901934861
acute gastroenteritis,57,0.39938210422615505
acute gastroenteritis,58,0.5288231376605614
acute gastroenteritis,59,0.4428940090854857
acute gastroenteritis,60,0.49512714205204533
acute gastroenteritis,61,0.5652681481311506
acute gastroenteritis,62,0.5457615001262281
acute gastroenteritis,63,0.4785265889136522
acute gastroenteritis,64,0.4852031403760428
acute gastroenteritis,65,0.6259629281000093
acute gastroenteritis,66,0.4034561512187148
acute gastroenteritis,67,0.4919921048672549
acute gastroenteritis,68,0.44650181366347075
acute gastroenteritis,69,0.593918817065768
acute gastroenteritis,70,0.5862784717203586
acute gastroenteritis,71,0.47946390797411204
acute gastroenteritis,72,0.5078879027036625
acute gastroenteritis,73,0.45444955109767154
acute gastroenteritis,74,0.47145046910886157
acute gastroenteritis,75,0.5044428617204897
acute gastroenteritis,76,0.3918597000483793
acute gastroenteritis,77,0.4322037352390928
acute gastroenteritis,78,0.4983752670159841
acute gastroenteritis,79,0.5419584774579225
acute gastroenteritis,80,0.5916973607365764
acute gastroenteritis,81,0.5875652125279522
acute gastroenteritis,82,0.4622051902660297
acute gastroenteritis,83,0.53782418875785
acute gastroenteritis,84,0.4247584622058618
acute gastroenteritis,85,0.6284051643248743
acute gastroenteritis,86,0.45232864780497034
acute gastroenteritis,87,0.44936866569919093
acute gastroenteritis,88,0.6041563706796467
acute gastroenteritis,89,0.4630541072264428
acute gastroenteritis,90,0.49345669775659146
acute gastroenteritis,91,0.6037600324623135
acute gastroenteritis,92,0.5222721079459625
acute gastroenteritis,93,0.3477506684118639
acute gastroenteritis,94,0.593022278322421
acute gastroenteritis,95,0.4782165440265338
acute gastroenteritis,96,0.47015335327484753
acute gastroenteritis,97,0.5136183370636197
acute gastroenteritis,98,0.5263304210573119
acute gastroenteritis,99,0.42491731215370676
acute gastroenteritis,100,0.5194116401487922
acute gastroenteritis,101,0.4918720080942611
acute gastroenteritis,102,0.5343700354143662
acute gastroenteritis,103,0.41999527003783965
acute gastroenteritis,104,0.45879580310891965
acute gastroenteritis,105,0.5482534654537579
acute gastroenteritis,106,0.4984602510595516
acute gastroenteritis,107,0.4620890753237692
acute gastroenteritis,108,0.4359093108149712
acute gastroenteritis,109,0.4924643677016041
acute gastroenteritis,110,0.41778381193274805
acute gastroenteritis,111,0.5052673000809561
acute gastroenteritis,112,0.5392523694999205
acute gastroenteritis,113,0.4309815753869041
acute gastroenteritis,114,0.6435904871439085
