disease,feature_block,rank_within_group,feature,mean_abs_shap,std_abs_shap
acute flare-up of triaditis/chronic enteropathy,environmental_only,14,num__wind_gusts_10m_max__mean_7d,0.4174248291974244,0.15939440552169126
acute flare-up of triaditis/chronic enteropathy,environmental_only,15,num__precipitation_hours__mean_7d,0.3897556850540555,0.1458025641405694
acute flare-up of triaditis/chronic enteropathy,environmental_only,16,num__wind_gusts_10m_max__mean_13d,0.331723914523678,0.19556235055025548
acute flare-up of triaditis/chronic enteropathy,environmental_only,17,num__apparent_temperature_max__day1,0.32760407359811905,0.17065930721750414
acute flare-up of triaditis/chronic enteropathy,environmental_only,18,num__wind_direction_10m_dominant__peak_14d,0.3264087432130268,0.09542323305056484
acute flare-up of triaditis/chronic enteropathy,environmental_only,19,num__precipitation_sum__day1,0.3053874921207952,0.12640760305921211
acute flare-up of triaditis/chronic enteropathy,environmental_only,20,num__precipitation_hours__mean_13d,0.29867753120035423,0.1529221336626795
acute gastroenteritis,clinical_only,1,num__hospitalization time (days),4.335867768676482,0.3529705657591292
acute gastroenteritis,clinical_only,2,num__hospitalization time (days)__missing,1.6307469228937403,0.19289015647025365
acute gastroenteritis,clinical_only,3,num__BUN concentration,1.5350944812309848,0.1092569142439098
acute gastroenteritis,clinical_only,4,num__lymphocyte count,1.2190658821097213,0.4465016773071962
acute gastroenteritis,clinical_only,5,num__Cl value,0.7397868121103228,0.41341113411223873
acute gastroenteritis,clinical_only,6,num__neutrophil count (x 10^9/L),0.6651587387237654,0.214946386908781
acute gastroenteritis,clinical_only,7,num__Na value,0.6568259982565625,0.31381969189233394
acute gastroenteritis,clinical_only,8,num__K value,0.6253569357250914,0.13377018571829563
acute gastroenteritis,clinical_only,9,num__body weight,0.5993697927150768,0.3125560156453858
acute gastroenteritis,clinical_only,10,num__CREA concentration ,0.5939672936457033,0.34086803601843685
acute gastroenteritis,clinical_only,11,num__leukocyte count,0.5866447759508713,0.3035396553715028
acute gastroenteritis,clinical_only,12,num__Initial total protein concentration (in g/l),0.5824818031448645,0.20708343337869592
acute gastroenteritis,clinical_only,13,num__initial hematocrit,0.5632276778643902,0.14331183735162006
acute gastroenteritis,clinical_only,14,cat__regularly dewormed_yes,0.3770238404613808,0.31036427750478734
acute gastroenteritis,clinical_only,15,cat__breed_EKH,0.33065038297714794,0.23911408498951262
acute gastroenteritis,clinical_only,16,cat__Albumin interpretation_physiological,0.3247764214349482,0.3604074196740737
acute gastroenteritis,clinical_only,17,num__Albumin concentration (in g/l),0.30024638642460644,0.11821406688929575
acute gastroenteritis,clinical_only,18,cat__regularly dewormed_Missing,0.25175413802072605,0.06120388696018919
acute gastroenteritis,clinical_only,19,cat__Na interpreatation_physiological,0.2509514187106703,0.08279998233712331
acute gastroenteritis,clinical_only,20,cat__fecal examination_negative,0.2161355906428779,0.3142634854648198
acute gastroenteritis,combined,1,num__hospitalization time (days),4.437817455625146,0.2757150419026033
acute gastroenteritis,combined,2,num__hospitalization time (days)__missing,1.8437497326588606,0.34879760279361766
acute gastroenteritis,combined,3,num__wind_gusts_10m_max__peak_14d,1.4315835284856333,0.19694433979216033
acute gastroenteritis,combined,4,num__BUN concentration,1.4021087631884892,0.21087498276123284
acute gastroenteritis,combined,5,num__lymphocyte count,1.012031176836946,0.4251507592164075
acute gastroenteritis,combined,6,num__wind_direction_10m_dominant__mean_13d,0.8214660610088483,0.3133979789233122
acute gastroenteritis,combined,7,num__Cl value,0.6425406893677363,0.3579541577558618
acute gastroenteritis,combined,8,num__wind_gusts_10m_max__day1,0.5321439366438707,0.15252735481530852
acute gastroenteritis,combined,9,num__Initial total protein concentration (in g/l),0.4664009268719485,0.28962389822463974
acute gastroenteritis,combined,10,num__wind_gusts_10m_max__mean_7d,0.44640411198497565,0.2945616939915979
acute gastroenteritis,combined,11,num__precipitation_sum__mean_7d,0.41480653443998533,0.2670609218036168
acute gastroenteritis,combined,12,num__surface_pressure_max__mean_13d,0.39248592859090614,0.13451629922318664
acute gastroenteritis,combined,13,num__Na value,0.36862363472023363,0.2262269128850662
acute gastroenteritis,combined,14,num__surface_pressure_max__day1,0.3542381376575861,0.22206852145721231
acute gastroenteritis,combined,15,num__K value,0.2998403084710807,0.10691472529316386
acute gastroenteritis,combined,16,num__moon_phase_sin,0.28411921640771204,0.23609188558809913
acute gastroenteritis,combined,17,cat__regularly dewormed_yes,0.2814438660155797,0.256006327257855
acute gastroenteritis,combined,18,num__neutrophil count (x 10^9/L),0.2557310683524817,0.15454729328443553
acute gastroenteritis,combined,19,num__precipitation_hours__mean_2d,0.25028247787927904,0.152209628032082
acute gastroenteritis,combined,20,num__wind_direction_10m_dominant__peak_14d,0.23307303240043842,0.050601668641698946
acute gastroenteritis,environmental_only,1,num__wind_direction_10m_dominant__mean_13d,1.483757152183646,0.7679145970767081
acute gastroenteritis,environmental_only,2,num__surface_pressure_max__day1,1.0904721190287103,0.4723364701883289
acute gastroenteritis,environmental_only,3,num__wind_gusts_10m_max__day1,1.0666085795411517,0.2945215901168598
acute gastroenteritis,environmental_only,4,num__wind_direction_10m_dominant__day1,0.9388092661945239,0.1986879184816289
acute gastroenteritis,environmental_only,5,num__surface_pressure_max__mean_13d,0.937015404930753,0.15031977819263137
acute gastroenteritis,environmental_only,6,num__precipitation_sum__mean_2d,0.897384399924411,0.29591372475276856
acute gastroenteritis,environmental_only,7,num__apparent_temperature_max__day1,0.8179494304620049,0.27981047110758717
acute gastroenteritis,environmental_only,8,num__wind_gusts_10m_max__mean_7d,0.6195309971994433,0.1354705808527491
acute gastroenteritis,environmental_only,9,num__wind_gusts_10m_max__peak_14d,0.608850088544379,0.12607473853664325
acute gastroenteritis,environmental_only,10,num__snowfall_sum__mean_13d,0.5799024518507269,0.27681518685538054
acute gastroenteritis,environmental_only,11,num__precipitation_hours__peak_14d,0.5127370604471235,0.20654175630554697
acute gastroenteritis,environmental_only,12,num__precipitation_hours__mean_2d,0.46000005789254494,0.1295394684981788
acute gastroenteritis,environmental_only,13,num__precipitation_sum__mean_7d,0.4565699856312535,0.10804681942361663
acute gastroenteritis,environmental_only,14,num__wind_gusts_10m_max__mean_13d,0.4457732605638974,0.06949894890138704
acute gastroenteritis,environmental_only,15,num__wind_direction_10m_dominant__mean_7d,0.4371296944272953,0.21411182808936763
acute gastroenteritis,environmental_only,16,num__wind_direction_10m_dominant__peak_14d,0.3880683362313744,0.19249467503585363
acute gastroenteritis,environmental_only,17,num__moon_phase_sin,0.35798767040995816,0.22161657074095556
acute gastroenteritis,environmental_only,18,num__moon_phase_cos,0.35577499480131414,0.07240800952161043
acute gastroenteritis,environmental_only,19,num__daylight_duration__day1,0.30772277636038026,0.08181021864649303
acute gastroenteritis,environmental_only,20,num__precipitation_hours__mean_7d,0.29567280521789796,0.14031725576901657
acute pancreatitis,clinical_only,1,num__body weight,1.7845666783882497,0.21658525590722522
acute pancreatitis,clinical_only,2,num__lymphocyte count,0.9201870456180048,0.4757345032221232
acute pancreatitis,clinical_only,3,num__hospitalization time (days),0.8169150601960794,0.14697050027493475
acute pancreatitis,clinical_only,4,num__hospitalization time (days)__missing,0.6949709883901998,0.19250931370477628
acute pancreatitis,clinical_only,5,num__leukocyte count,0.6774761029058312,0.12033326655083551
acute pancreatitis,clinical_only,6,num__CREA concentration ,0.6162825443185136,0.0878370851107182
acute pancreatitis,clinical_only,7,num__BUN concentration,0.5281574254403012,0.18608451048558877
acute pancreatitis,clinical_only,8,num__neutrophil count (x 10^9/L),0.5003614458294958,0.1671341895224948
acute pancreatitis,clinical_only,9,num__Cl value,0.49208274857421086,0.17693106677168122
acute pancreatitis,clinical_only,10,num__Initial total protein concentration (in g/l),0.48194041861164577,0.05917555561122724
acute pancreatitis,clinical_only,11,num__Na value,0.4264597521203373,0.2376454428570121
acute pancreatitis,clinical_only,12,num__Albumin concentration (in g/l),0.3812858521424565,0.06705959798612166
acute pancreatitis,clinical_only,13,cat__regularly dewormed_yes,0.3805579647307008,0.21983587643207364
acute pancreatitis,clinical_only,14,num__initial hematocrit,0.3588543889942111,0.08034934531342093
acute pancreatitis,clinical_only,15,num__K value,0.3372283285573518,0.18635584418093756
acute pancreatitis,clinical_only,16,num__K value__missing,0.3314505651567571,0.3935205753436651
acute pancreatitis,clinical_only,17,cat__Albumin interpretation_physiological,0.32116343800866204,0.16150180672052106
acute pancreatitis,clinical_only,18,cat__sex_F,0.2743800486394036,0.20514428685888333
acute pancreatitis,clinical_only,19,cat__breed_EKH,0.22243740410646487,0.25335065557848024
acute pancreatitis,clinical_only,20,num__altitude (MASL),0.2152117931120189,0.0795550264454554
acute pancreatitis,combined,1,num__body weight,1.7465601585503934,0.47328748769939255
acute pancreatitis,combined,2,num__lymphocyte count,0.7205698810769589,0.45204145722021305
acute pancreatitis,combined,3,num__hospitalization time (days),0.6455486766552387,0.04951684718836634
acute pancreatitis,combined,4,num__surface_pressure_max__day1,0.6016778683856371,0.2426368297127171
acute pancreatitis,combined,5,num__hospitalization time (days)__missing,0.5837315932188325,0.1907310707139119
acute pancreatitis,combined,6,num__wind_direction_10m_dominant__mean_13d,0.5510795485181798,0.11171656723548679
acute pancreatitis,combined,7,num__wind_gusts_10m_max__day1,0.4749351856658343,0.07875302689990955
acute pancreatitis,combined,8,num__BUN concentration,0.46424972337670134,0.20924906581666586
acute pancreatitis,combined,9,num__moon_phase_sin,0.4291083091038114,0.19060065218425498
acute pancreatitis,combined,10,num__leukocyte count,0.4223652439496849,0.2503973353672704
acute pancreatitis,combined,11,cat__Albumin interpretation_physiological,0.4176650666274041,0.14713335117948792
acute pancreatitis,combined,12,num__precipitation_sum__day1,0.4112230438608762,0.2669823004192623
acute pancreatitis,combined,13,num__K value__missing,0.36882003831354215,0.45298618830826065
acute pancreatitis,combined,14,num__precipitation_hours__peak_14d,0.35998288047568955,0.22788106818490564
acute pancreatitis,combined,15,num__CREA concentration ,0.35818274596112537,0.12017012887482473
acute pancreatitis,combined,16,num__surface_pressure_max__mean_13d,0.35510539363438753,0.2515980590245617
acute pancreatitis,combined,17,num__Cl value,0.34230359850764214,0.10539292096609934
acute pancreatitis,combined,18,num__neutrophil count (x 10^9/L),0.34162225941070073,0.16138015454113736
acute pancreatitis,combined,19,cat__regularly dewormed_yes,0.3389530894875587,0.23719751518624557
acute pancreatitis,combined,20,num__wind_gusts_10m_max__mean_7d,0.33239568594004687,0.1797307805695042
acute pancreatitis,environmental_only,1,num__surface_pressure_max__day1,0.7061170181248108,0.20675191554408473
acute pancreatitis,environmental_only,2,num__moon_phase_sin,0.6066672656986736,0.10637655684686954
acute pancreatitis,environmental_only,3,num__wind_gusts_10m_max__mean_7d,0.5527266663292272,0.22945996795681822
acute pancreatitis,environmental_only,4,num__precipitation_sum__peak_14d,0.5498499113381057,0.1894916974137269
acute pancreatitis,environmental_only,5,num__wind_gusts_10m_max__day1,0.5390139325886616,0.1262555654561148
acute pancreatitis,environmental_only,6,num__wind_direction_10m_dominant__mean_7d,0.5321370973831778,0.11146492536276427
acute pancreatitis,environmental_only,7,num__daylight_duration__day1,0.5014690280372338,0.1938916953952339
acute pancreatitis,environmental_only,8,num__surface_pressure_max__mean_13d,0.4966503955648728,0.15991651120176098
acute pancreatitis,environmental_only,9,num__wind_direction_10m_dominant__peak_7d,0.44662696166019583,0.20367421750122627
acute pancreatitis,environmental_only,10,num__wind_gusts_10m_max__peak_14d,0.42985099883639427,0.1707423914963582
acute pancreatitis,environmental_only,11,num__precipitation_sum__day1,0.42878589347999013,0.16631550716605267
acute pancreatitis,environmental_only,12,num__precipitation_sum__mean_2d,0.42876109172951227,0.11774598762266969
acute pancreatitis,environmental_only,13,num__apparent_temperature_max__day1,0.41707764595453634,0.12106950964189912
acute pancreatitis,environmental_only,14,num__precipitation_sum__mean_13d,0.4017189647858063,0.14488491541722182
acute pancreatitis,environmental_only,15,num__precipitation_hours__mean_13d,0.395640867578763,0.14124679153195668
acute pancreatitis,environmental_only,16,num__precipitation_hours__peak_14d,0.36902906273499697,0.2298048448847513
acute pancreatitis,environmental_only,17,num__wind_direction_10m_dominant__mean_13d,0.36564682577554164,0.14242385258221887
acute pancreatitis,environmental_only,18,num__precipitation_sum__mean_7d,0.34819244050333087,0.15558950587929513
acute pancreatitis,environmental_only,19,num__wind_direction_10m_dominant__day1,0.3138559455593892,0.14098338824807988
acute pancreatitis,environmental_only,20,num__precipitation_hours__day1,0.23712054312931405,0.10291410410567176
parvovirus enteritis,clinical_only,1,num__hospitalization time (days),2.2470820781377117,0.3900833893020818
parvovirus enteritis,clinical_only,2,num__body weight,2.1097793341507343,0.5605285864921796
parvovirus enteritis,clinical_only,3,num__leukocyte count,2.0176456834001253,0.2620680585201951
parvovirus enteritis,clinical_only,4,cat__neuter status_intact,1.289664867813342,0.5104298189949434
parvovirus enteritis,clinical_only,5,num__neutrophil count (x 10^9/L),0.7554745171906461,0.28495371484232807
parvovirus enteritis,clinical_only,6,cat__lymphocyte count interpreatation_lower limit,0.6585633944416438,0.2930016498012401
parvovirus enteritis,clinical_only,7,num__CREA concentration ,0.6135410243924212,0.48323042665232707
parvovirus enteritis,clinical_only,8,num__BUN concentration,0.5671077131972743,0.3170360762346166
parvovirus enteritis,clinical_only,9,num__lymphocyte count,0.5640481095224276,0.2533690644795046
parvovirus enteritis,clinical_only,10,num__initial hematocrit,0.5575964990718826,0.3106596261114879
parvovirus enteritis,clinical_only,11,num__Albumin concentration (in g/l),0.5161917725898524,0.5848093468473428
parvovirus enteritis,clinical_only,12,cat__urban or rural region_city,0.4891579217202772,0.4108798055023575
parvovirus enteritis,clinical_only,13,cat__BARF diet_Missing,0.3957699332734683,0.24988168924279255
