,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
temperature_2m_min__mean_7d,0.11166139075677022,0.050775671267809824,-0.015150748059313508,0.06837124599057967,0.008686279014009424,-0.059842885393668416,0.05186802002021473,-0.05555729015387065,-0.07054648912171765,-0.018036451445918283,0.00804029999477801,0.009088804687892194,-0.028579252460171192,-0.011786373804742192,0.003666804675927768,-0.016065500290059667,-0.07398720196824662,-0.026448965147303632,-0.01888900942410937,0.053404270940171514
temperature_2m_min__mean_13d,0.10929452556167163,0.04867662853206743,-0.02567681299465023,0.07946058436038998,-0.012836884269194604,-0.05487394828121063,0.04795653234850217,-0.04501381516262057,-0.12766550252135522,-0.014231683327678293,0.04462012715553551,-0.0024086780786650996,0.00010529098002326487,-0.011918888890460569,-0.06499988225114418,-0.04874093002215238,-0.10958035010574957,0.021745593319712084,0.01071222681190695,0.03275865347566301
temperature_2m_min__peak_7d,0.11032925340631519,0.053331459332648934,-0.008390206683305241,0.06872529302501293,0.013137942188508611,-0.052585045865828434,0.07236366243089523,-0.04534965290446575,-0.05239510634108224,-0.026333348980311144,-0.003531556411350001,-0.013511194607346746,0.02301911206789531,0.001755145615325783,0.012087839805031642,0.0005326865174968814,-0.05923388472283661,-0.00450844779662736,-0.023829134862008786,-0.057696379037358386
temperature_2m_min__peak_14d,0.10664689172616493,0.04869394423173432,-0.028411142727195624,0.07516671196374083,-0.013473309725811233,-0.05832440529749225,0.06800542487726996,-0.04097503346313336,-0.10458642757097367,-0.004996480313485915,0.0421808779815272,-0.04273079552356601,0.019182473494955554,-0.01729993277401593,-0.09214559471120104,-0.022337917877007913,-0.09776342445647102,0.11255740514505283,0.05815431059625358,-0.09152629677561618
temperature_2m_mean__day1,0.11374222879208405,0.018938355038391783,-0.005196709153627757,0.022987737780006498,0.014567184247401194,-0.04096867028800837,0.04628758033982907,-0.08729318013157028,0.11587585331027497,0.05670062176522206,-0.04141092342497282,0.06595914867327562,0.002308287373747636,0.0271833488644517,0.063651933357383,0.030978930217009225,0.09127876362878878,-0.004451145933319717,-0.030620176983601033,-0.021967503748848316
temperature_2m_mean__mean_2d,0.11511776983934945,0.02173280458835656,-0.0024197380098495845,0.030686271530915143,0.027424154414056497,-0.04683450686293129,0.044068963980732234,-0.07670076036908899,0.09545483258678934,0.05191328225286351,-0.031090437167303697,0.04317612584496122,0.007074459983562403,0.018499651957763742,0.06466389157209601,0.020553192015882227,0.07903283609665795,-0.03823304729913356,0.004713982117168752,-0.002846193619727766
temperature_2m_mean__mean_3d,0.11605199346334084,0.023682694993972984,-0.0014456049866423942,0.036228312318177046,0.03279986121901322,-0.04592301922501903,0.040377649132445376,-0.06501305631436965,0.06161686333101616,0.03166096459479384,-0.023247789918375728,0.025662962048512566,0.011930560675888657,0.0009796766731555717,0.06305225504949757,0.005171018747896154,0.04423123406459678,-0.05352842057133804,0.01835834874871453,0.013561939018467674
temperature_2m_mean__mean_7d,0.11635533986917244,0.0298675182642358,-0.0030013378890882936,0.048591616573567836,0.02123992524382004,-0.03767196205465357,0.03972656293278242,-0.040649900234417766,-0.04795229319639426,-0.01639737507300998,-0.0005491043026424891,-0.015035701128614964,0.004389551323566221,-0.006225974187864081,0.010829670245997458,-0.002828561856425491,-0.043057342084763056,-0.022760923048459017,0.003584437176717442,0.046418299287621395
temperature_2m_mean__mean_13d,0.11422166309453136,0.033389278649762245,-0.013753694240413856,0.05917031476411301,0.004459345010635518,-0.035256520447669755,0.03780633598794657,-0.02827084776945879,-0.11374097548155114,-0.025108099930013145,0.02714185153863924,-0.015471838539310834,0.01949426022726468,0.003959712480307687,-0.061496473283874684,-0.03238493810095831,-0.08189645035627235,0.02572780267955814,0.025089096590143387,0.039071488677349525
temperature_2m_mean__peak_7d,0.11487999281968678,0.03422959235962769,-0.0016522638694357128,0.04621229815767615,0.01945066038290031,-0.026406286382701188,0.05064662446558152,-0.038910233026014214,-0.045803608425936504,-0.04253336517626896,-0.02839503057232743,-0.02321552724758491,0.049541463570451416,0.01523701425193058,-0.0014855173226864249,0.006234947541232758,-0.028506954602405037,0.026033348637563,0.002253916944148421,-0.05828168428337202
