disease,observed_auc,perm_mean,perm_std,p_value,effect_size,n_perm
acute flare-up of triaditis/chronic enteropathy,0.5074074074074074,0.5098881585646022,0.05019375115954235,0.5422885572139303,-0.002480751157194816,200
acute gastroenteritis,0.5962418300653594,0.5024466514069439,0.05964451606146318,0.06467661691542288,0.09379517865841547,200
acute pancreatitis,0.47760548807917225,0.4970161939889786,0.0468283488489685,0.6417910447761194,-0.01941070590980637,200
parvovirus enteritis,0.6200430228208005,0.4979338780254491,0.0663516641544648,0.04975124378109453,0.1221091447953514,200
