disease,env_sum,clinical_sum,env_ratio
acute flare-up of triaditis/chronic enteropathy,8.486964944967454,10.032490197513955,0.45827292864029107
acute pancreatitis,7.622418553369892,10.277228494895713,0.42584183547398324
acute gastroenteritis,8.042754263707682,13.16338789420277,0.3792653186901099
parvovirus enteritis,5.026713806103926,11.434154212689382,0.3053735562647697
