disease,histgb_observed_auc,histgb_perm_mean,histgb_perm_std,histgb_p_value,lgbm_observed_auc,lgbm_perm_mean,lgbm_perm_std,lgbm_p_value,auc_delta_histgb,auc_delta_lgbm,replication_class
acute flare-up of triaditis/chronic enteropathy,0.5074074074074074,0.5098881585646022,0.0501937511595423,0.5422885572139303,,,,,-0.002480751157194816,,HistGB only
acute gastroenteritis,0.5962418300653594,0.5024466514069439,0.0596445160614631,0.0646766169154228,,,,,0.09379517865841547,,HistGB only
acute pancreatitis,0.4776054880791722,0.4970161939889786,0.0468283488489685,0.6417910447761194,,,,,-0.019410705909806425,,HistGB only
parvovirus enteritis,0.6200430228208005,0.4979338780254491,0.0663516641544648,0.0497512437810945,,,,,0.1221091447953514,,HistGB only
