model,feature_block,fold,class_label,precision,recall,f1,support
hist_gb,clinical_only,4,parvovirus enteritis,0.5,0.625,0.5555555555555556,8
hist_gb,clinical_only,5,acute flare-up of triaditis/chronic enteropathy,0.45,0.5,0.47368421052631576,18
hist_gb,clinical_only,5,acute gastroenteritis,0.6153846153846154,0.6666666666666666,0.64,12
hist_gb,clinical_only,5,acute pancreatitis,0.45,0.375,0.4090909090909091,24
hist_gb,clinical_only,5,parvovirus enteritis,0.8,0.8888888888888888,0.8421052631578947,9
random_forest,environmental_only,1,acute flare-up of triaditis/chronic enteropathy,0.1875,0.16666666666666666,0.17647058823529413,18
random_forest,environmental_only,1,acute gastroenteritis,0.375,0.25,0.3,12
random_forest,environmental_only,1,acute pancreatitis,0.36363636363636365,0.48,0.41379310344827586,25
random_forest,environmental_only,1,parvovirus enteritis,0.3333333333333333,0.25,0.2857142857142857,8
random_forest,environmental_only,2,acute flare-up of triaditis/chronic enteropathy,0.2916666666666667,0.3888888888888889,0.3333333333333333,18
random_forest,environmental_only,2,acute gastroenteritis,0.5,0.25,0.3333333333333333,12
random_forest,environmental_only,2,acute pancreatitis,0.3793103448275862,0.44,0.4074074074074074,25
random_forest,environmental_only,2,parvovirus enteritis,0.75,0.375,0.5,8
random_forest,environmental_only,3,acute flare-up of triaditis/chronic enteropathy,0.4375,0.3888888888888889,0.4117647058823529,18
random_forest,environmental_only,3,acute gastroenteritis,0.42857142857142855,0.25,0.3157894736842105,12
random_forest,environmental_only,3,acute pancreatitis,0.43243243243243246,0.64,0.5161290322580645,25
random_forest,environmental_only,3,parvovirus enteritis,0.3333333333333333,0.125,0.18181818181818182,8
random_forest,environmental_only,4,acute flare-up of triaditis/chronic enteropathy,0.3333333333333333,0.3888888888888889,0.358974358974359,18
random_forest,environmental_only,4,acute gastroenteritis,0.16666666666666666,0.08333333333333333,0.1111111111111111,12
random_forest,environmental_only,4,acute pancreatitis,0.36666666666666664,0.44,0.4,25
random_forest,environmental_only,4,parvovirus enteritis,0.5,0.375,0.42857142857142855,8
