analysis_level,disease,stratum,metric,level,window_deg,exposure_n,case_n,risk,baseline_risk,rr,rr_ci_low,rr_ci_high,ci_excludes_1
stratified_category,acute gastroenteritis,female_neutered,moon_category,new,,12,2,0.16666666666666666,0.15789473684210525,1.0555555555555556,0.19224134120633576,4.567870346493068,False
stratified_category,acute gastroenteritis,female_neutered,moon_category,waning,,36,7,0.19444444444444445,0.15789473684210525,1.2314814814814816,0.3992246249511056,3.5712507192530705,False
stratified_category,acute gastroenteritis,female_neutered,moon_category,waxing,,36,5,0.1388888888888889,0.15789473684210525,0.8796296296296298,0.2489471437324331,2.921961189998015,False
stratified_category,acute gastroenteritis,male_intact,moon_category,full,,5,2,0.4,0.2549019607843137,1.5692307692307694,0.3026051884990644,4.948531531042658,False
stratified_category,acute gastroenteritis,male_intact,moon_category,new,,7,1,0.14285714285714285,0.2549019607843137,0.5604395604395604,0.0660661636279621,3.3008294061629946,False
stratified_category,acute gastroenteritis,male_intact,moon_category,waning,,19,5,0.2631578947368421,0.2549019607843137,1.0323886639676114,0.3037478920563043,3.1386305768398333,False
stratified_category,acute gastroenteritis,male_intact,moon_category,waxing,,20,5,0.25,0.2549019607843137,0.9807692307692308,0.28779069389354284,3.01502874914574,False
stratified_category,acute gastroenteritis,male_neutered,moon_category,full,,20,2,0.1,0.171875,0.5818181818181819,0.11302719610261591,2.5877881339096707,False
stratified_category,acute gastroenteritis,male_neutered,moon_category,new,,22,4,0.18181818181818182,0.171875,1.0578512396694215,0.2963706374366142,3.3110047263680715,False
stratified_category,acute gastroenteritis,male_neutered,moon_category,waning,,46,5,0.10869565217391304,0.171875,0.6324110671936759,0.19197888245644776,1.9804040927059137,False
stratified_category,acute gastroenteritis,male_neutered,moon_category,waxing,,40,11,0.275,0.171875,1.6,0.6533526287781801,3.68220881795227,False
overall_category,acute pancreatitis,overall,moon_category,full,,38,14,0.3684210526315789,0.39490445859872614,0.9329371816638369,0.5197243429026573,1.539529972997034,False
overall_category,acute pancreatitis,overall,moon_category,new,,45,15,0.3333333333333333,0.39490445859872614,0.8440860215053763,0.4747103159286856,1.399743528706201,False
overall_category,acute pancreatitis,overall,moon_category,waning,,123,56,0.45528455284552843,0.39490445859872614,1.152897980592709,0.8222630544241392,1.5867023676380392,False
overall_category,acute pancreatitis,overall,moon_category,waxing,,108,39,0.3611111111111111,0.39490445859872614,0.914426523297491,0.6150587212570886,1.3288700767394739,False
overall_window,acute pancreatitis,overall,near_full,yes,15.0,22,7,0.3181818181818182,0.39490445859872614,0.8057184750733137,0.36361985904810057,1.5385209744637864,False
overall_window,acute pancreatitis,overall,near_full,yes,30.0,45,17,0.37777777777777777,0.39490445859872614,0.9566308243727598,0.5580384813176975,1.5294254558366283,False
overall_window,acute pancreatitis,overall,near_new,yes,15.0,28,8,0.2857142857142857,0.39490445859872614,0.7235023041474653,0.3390256140313545,1.3743317036093188,False
overall_window,acute pancreatitis,overall,near_new,yes,30.0,50,17,0.34,0.39490445859872614,0.8609677419354839,0.49867126219695534,1.3973093209959861,False
stratified_category,acute pancreatitis,female_intact,moon_category,full,,2,0,0.0,0.3076923076923077,0.0,0.0,3.5421565250435174,False
stratified_category,acute pancreatitis,female_intact,moon_category,new,,4,1,0.25,0.3076923076923077,0.8125,0.09820021951906995,3.7669569920345993,False
