sex_neuter,total_n,pct_total,reported_stratified,case_n__acute pancreatitis,risk__acute pancreatitis,case_n__acute flare-up of triaditis/chronic enteropathy,risk__acute flare-up of triaditis/chronic enteropathy,case_n__acute gastroenteritis,risk__acute gastroenteritis,case_n__parvovirus enteritis,risk__parvovirus enteritis
male_neutered,129,0.4095238095238095,True,60,0.46511627906976744,42,0.32558139534883723,22,0.17054263565891473,5,0.03875968992248062
female_neutered,95,0.30158730158730157,True,41,0.43157894736842106,36,0.37894736842105264,15,0.15789473684210525,3,0.031578947368421054
male_intact,51,0.1619047619047619,True,11,0.21568627450980393,8,0.1568627450980392,13,0.2549019607843137,19,0.37254901960784315
female_intact,39,0.12380952380952381,True,12,0.3076923076923077,4,0.10256410256410256,10,0.2564102564102564,13,0.3333333333333333
unknown_intact,1,0.0031746031746031746,False,0,0.0,0,0.0,0,0.0,1,1.0
