bin_center_deg,bin_start_deg,bin_end_deg,total_n,case_n,risk,risk_ci_low,risk_ci_high,risk_smooth_ma3
7.5,0.0,15.0,14,1,0.07142857142857142,0.012721886112291636,0.3146926955395781,0.11904761904761904
22.5,15.0,30.0,7,0,0.0,0.0,0.35433884297520657,0.08441558441558442
37.5,30.0,45.0,11,2,0.18181818181818182,0.051366600671000656,0.4769861375782448,0.09764309764309764
52.5,45.0,60.0,9,1,0.1111111111111111,0.019890371327130507,0.4350062147680602,0.12328412328412329
67.5,60.0,75.0,13,1,0.07692307692307693,0.013710066379696323,0.3331453392824736,0.1102971102971103
82.5,75.0,90.0,14,2,0.14285714285714285,0.040093073737921175,0.39941907763863693,0.12087912087912087
97.5,90.0,105.0,14,2,0.14285714285714285,0.040093073737921175,0.39941907763863693,0.20129870129870128
112.5,105.0,120.0,22,7,0.3181818181818182,0.1636038735469248,0.5268177721716065,0.15367965367965367
127.5,120.0,135.0,9,0,0.0,0.0,0.2991527535509594,0.13636363636363635
142.5,135.0,150.0,11,1,0.09090909090909091,0.01623175226282597,0.3773646254862038,0.12554112554112554
157.5,150.0,165.0,7,2,0.2857142857142857,0.0822171657090155,0.6410709098517873,0.19220779220779222
172.5,165.0,180.0,10,2,0.2,0.056680947980693314,0.5098431532792765,0.18968253968253967
187.5,180.0,195.0,12,1,0.08333333333333333,0.014864709450773478,0.35388592179859524,0.11527777777777777
202.5,195.0,210.0,16,1,0.0625,0.01111905730833121,0.2832926836802987,0.09305555555555554
217.5,210.0,225.0,15,2,0.13333333333333333,0.0373604698913593,0.3788249920651624,0.06527777777777777
232.5,225.0,240.0,10,0,0.0,0.0,0.2775401687666166,0.06296296296296296
247.5,240.0,255.0,18,1,0.05555555555555555,0.009874935830924525,0.2575779980200754,0.09544159544159544
262.5,255.0,270.0,13,3,0.23076923076923078,0.08179379092465713,0.5025687399512693,0.150997150997151
277.5,270.0,285.0,12,2,0.16666666666666666,0.04696414761482223,0.44803635738467273,0.18376068376068377
292.5,285.0,300.0,13,2,0.15384615384615385,0.04325726318273798,0.4223517050863101,0.13247863247863248
307.5,300.0,315.0,26,2,0.07692307692307693,0.02135463918337556,0.24141947480515052,0.1435897435897436
322.5,315.0,330.0,10,2,0.2,0.056680947980693314,0.5098431532792765,0.09230769230769231
337.5,330.0,345.0,15,0,0.0,0.0,0.20388926630434784,0.16190476190476188
352.5,345.0,360.0,14,4,0.2857142857142857,0.11721187910109096,0.5464954117248438,0.11904761904761904
