severity_marker,antecedents,support,support_count,confidence,lift,baseline_prevalence,leverage,conviction
leukocyte_increased,"precipitation_hours_mean_7d_low, snowfall_sum_mean_13d_low",0.050793650793650794,16,0.24615384615384617,1.5203619909502262,0.1619047619047619,0.017384731670445956,1.1117589893100097
leukocyte_increased,surface_pressure_max_mean_13d_low,0.05714285714285714,18,0.22784810126582278,1.4072970960536113,0.1619047619047619,0.016538170823885104,1.0854020296643248
leukocyte_increased,daylight_duration_day1_high,0.050793650793650794,16,0.2,1.2352941176470589,0.1619047619047619,0.009674981103552534,1.0476190476190477
leukocyte_increased,precipitation_sum_day1_high,0.050793650793650794,16,0.2,1.2352941176470589,0.1619047619047619,0.009674981103552534,1.0476190476190477
leukocyte_increased,surface_pressure_max_day1_low,0.050793650793650794,16,0.2,1.2352941176470589,0.1619047619047619,0.009674981103552534,1.0476190476190477
leukocyte_increased,wind_direction_10m_dominant_day1_low,0.050793650793650794,16,0.2,1.2352941176470589,0.1619047619047619,0.009674981103552534,1.0476190476190477
neutrophil_increased,moon_near_new,0.05714285714285714,18,0.40909090909090906,1.8950534759358286,0.21587301587301588,0.02698916603678508,1.326984126984127
neutrophil_increased,"snowfall_sum_mean_13d_low, surface_pressure_max_mean_13d_low",0.05714285714285714,18,0.37499999999999994,1.7371323529411762,0.21587301587301588,0.024247921390778526,1.2546031746031745
neutrophil_increased,"precipitation_hours_mean_13d_low, precipitation_hours_mean_7d_low, snowfall_sum_mean_13d_low",0.050793650793650794,16,0.35555555555555557,1.6470588235294117,0.21587301587301588,0.019954648526077097,1.2167487684729066
neutrophil_increased,"precipitation_hours_mean_2d_high, snowfall_sum_mean_13d_low",0.05396825396825397,17,0.3333333333333333,1.5441176470588234,0.21587301587301588,0.019017384731670445,1.176190476190476
neutrophil_increased,"apparent_temperature_max_day1_high, daylight_duration_day1_high",0.050793650793650794,16,0.3137254901960784,1.4532871972318337,0.21587301587301588,0.015842781557067268,1.1425850340136054
