cluster,diagnosis,count,row_pct,col_pct
0,acute flare-up of triaditis/chronic enteropathy,24,26.08695652173913,26.96629213483146
0,acute gastroenteritis,18,19.565217391304348,30.0
0,acute pancreatitis,40,43.47826086956522,32.25806451612903
0,parvovirus enteritis,10,10.869565217391305,24.390243902439025
1,acute flare-up of triaditis/chronic enteropathy,8,23.52941176470588,8.98876404494382
1,acute gastroenteritis,11,32.35294117647059,18.333333333333332
1,acute pancreatitis,11,32.35294117647059,8.870967741935484
1,parvovirus enteritis,4,11.76470588235294,9.75609756097561
2,acute flare-up of triaditis/chronic enteropathy,22,31.88405797101449,24.719101123595504
2,acute gastroenteritis,17,24.637681159420293,28.333333333333332
2,acute pancreatitis,25,36.231884057971016,20.161290322580644
2,parvovirus enteritis,5,7.246376811594203,12.195121951219512
3,acute flare-up of triaditis/chronic enteropathy,18,32.142857142857146,20.224719101123593
3,acute gastroenteritis,7,12.5,11.666666666666666
3,acute pancreatitis,24,42.857142857142854,19.35483870967742
3,parvovirus enteritis,7,12.5,17.073170731707318
4,acute flare-up of triaditis/chronic enteropathy,6,42.857142857142854,6.741573033707865
4,acute gastroenteritis,1,7.142857142857142,1.6666666666666667
4,acute pancreatitis,6,42.857142857142854,4.838709677419355
4,parvovirus enteritis,1,7.142857142857142,2.4390243902439024
5,acute flare-up of triaditis/chronic enteropathy,11,22.448979591836736,12.359550561797752
5,acute gastroenteritis,6,12.244897959183673,10.0
5,acute pancreatitis,18,36.734693877551024,14.516129032258066
5,parvovirus enteritis,14,28.57142857142857,34.146341463414636
