block,Dtag,n_dim,k,silhouette_score
combined,D80,17,2,0.2762287406830674
combined,D80,17,3,0.18031871691255189
combined,D80,17,4,0.16025014208306165
combined,D80,17,5,0.16478663312272376
combined,D80,17,6,0.11311877801646945
combined,D80,17,7,0.10111559769060018
combined,D80,17,8,0.12695074316263982
