cluster,diagnosis,count,row_pct,col_pct
1,acute flare-up of triaditis/chronic enteropathy,8,32.0,8.98876404494382
1,acute gastroenteritis,5,20.0,8.333333333333332
1,acute pancreatitis,8,32.0,6.451612903225806
1,parvovirus enteritis,4,16.0,9.75609756097561
2,acute flare-up of triaditis/chronic enteropathy,52,30.76923076923077,58.42696629213483
2,acute gastroenteritis,31,18.34319526627219,51.66666666666667
2,acute pancreatitis,70,41.42011834319527,56.451612903225815
2,parvovirus enteritis,16,9.467455621301776,39.02439024390244
3,acute flare-up of triaditis/chronic enteropathy,8,40.0,8.98876404494382
3,acute gastroenteritis,1,5.0,1.6666666666666667
3,acute pancreatitis,8,40.0,6.451612903225806
3,parvovirus enteritis,3,15.0,7.317073170731707
4,acute flare-up of triaditis/chronic enteropathy,7,19.444444444444446,7.865168539325842
4,acute gastroenteritis,10,27.77777777777778,16.666666666666664
4,acute pancreatitis,11,30.555555555555557,8.870967741935484
4,parvovirus enteritis,8,22.22222222222222,19.51219512195122
5,acute flare-up of triaditis/chronic enteropathy,10,27.027027027027028,11.235955056179774
5,acute gastroenteritis,6,16.216216216216218,10.0
5,acute pancreatitis,14,37.83783783783784,11.29032258064516
5,parvovirus enteritis,7,18.91891891891892,17.073170731707318
6,acute flare-up of triaditis/chronic enteropathy,4,14.814814814814813,4.49438202247191
6,acute gastroenteritis,7,25.925925925925924,11.666666666666666
6,acute pancreatitis,13,48.148148148148145,10.483870967741936
6,parvovirus enteritis,3,11.11111111111111,7.317073170731707
