cluster,diagnosis,count,row_pct,col_pct
1,acute flare-up of triaditis/chronic enteropathy,10,29.411764705882355,11.235955056179774
1,acute gastroenteritis,15,44.11764705882353,25.0
1,acute pancreatitis,6,17.647058823529413,4.838709677419355
1,parvovirus enteritis,3,8.823529411764707,7.317073170731707
2,acute flare-up of triaditis/chronic enteropathy,8,22.22222222222222,8.98876404494382
2,acute gastroenteritis,16,44.44444444444444,26.666666666666668
2,acute pancreatitis,4,11.11111111111111,3.225806451612903
2,parvovirus enteritis,8,22.22222222222222,19.51219512195122
3,acute flare-up of triaditis/chronic enteropathy,25,34.24657534246575,28.08988764044944
3,acute gastroenteritis,9,12.32876712328767,15.0
3,acute pancreatitis,36,49.31506849315068,29.03225806451613
3,parvovirus enteritis,3,4.10958904109589,7.317073170731707
4,acute flare-up of triaditis/chronic enteropathy,35,31.818181818181817,39.325842696629216
4,acute gastroenteritis,15,13.636363636363635,25.0
4,acute pancreatitis,48,43.63636363636363,38.70967741935484
4,parvovirus enteritis,12,10.909090909090908,29.268292682926827
5,acute flare-up of triaditis/chronic enteropathy,1,20.0,1.1235955056179776
5,acute gastroenteritis,0,0.0,0.0
5,acute pancreatitis,3,60.0,2.4193548387096775
5,parvovirus enteritis,1,20.0,2.4390243902439024
6,acute flare-up of triaditis/chronic enteropathy,10,17.857142857142858,11.235955056179774
6,acute gastroenteritis,5,8.928571428571429,8.333333333333332
6,acute pancreatitis,27,48.214285714285715,21.774193548387096
6,parvovirus enteritis,14,25.0,34.146341463414636
