track,consequent_name,antecedents,support,support_count,confidence,lift,baseline_prevalence,leverage,conviction
disease,disease_ap,"daylight_duration_day1_high, precipitation_hours_peak_7d_low, precipitation_sum_mean_7d_low",0.050793650793650794,16,0.6956521739130435,1.7671809256661992,0.39365079365079364,0.022050894431846813,1.9922902494331067
disease,disease_ap,"daylight_duration_day1_high, precipitation_sum_mean_7d_low",0.05396825396825397,17,0.68,1.7274193548387098,0.39365079365079364,0.022726127488032256,1.8948412698412704
disease,disease_ap,"daylight_duration_day1_high, precipitation_sum_mean_7d_low, snowfall_sum_mean_13d_low",0.05396825396825397,17,0.68,1.7274193548387098,0.39365079365079364,0.022726127488032256,1.8948412698412704
disease,disease_ap,"daylight_duration_day1_high, precipitation_sum_peak_14d_high",0.05396825396825397,17,0.6538461538461539,1.6609801488833749,0.39365079365079364,0.021476442428823385,1.7516754850088185
disease,disease_ap,"daylight_duration_day1_high, precipitation_sum_peak_14d_high, snowfall_sum_mean_13d_low",0.050793650793650794,16,0.64,1.6258064516129034,0.39365079365079364,0.01955152431342908,1.6843033509700178
disease,disease_ap,"daylight_duration_day1_high, precipitation_hours_day1_low",0.05714285714285714,18,0.6,1.5241935483870968,0.39365079365079364,0.01965230536659108,1.515873015873016
disease,disease_ap,"daylight_duration_day1_high, precipitation_sum_day1_low",0.05714285714285714,18,0.6,1.5241935483870968,0.39365079365079364,0.01965230536659108,1.515873015873016
disease,disease_ap,"daylight_duration_day1_high, precipitation_hours_day1_low, precipitation_sum_day1_low",0.05714285714285714,18,0.6,1.5241935483870968,0.39365079365079364,0.01965230536659108,1.515873015873016
disease,disease_ap,"daylight_duration_day1_high, precipitation_hours_day1_low, snowfall_sum_mean_13d_low",0.05714285714285714,18,0.6,1.5241935483870968,0.39365079365079364,0.01965230536659108,1.515873015873016
disease,disease_ap,"daylight_duration_day1_high, precipitation_sum_day1_low, snowfall_sum_mean_13d_low",0.05714285714285714,18,0.6,1.5241935483870968,0.39365079365079364,0.01965230536659108,1.515873015873016
