block,Dtag,n_dim,k,silhouette_score
combined,D80,17,2,0.276974600762727
combined,D80,17,3,0.18224911708908764
combined,D80,17,4,0.15996985788598844
combined,D80,17,5,0.14763883846027204
combined,D80,17,6,0.14668636835458537
combined,D80,17,7,0.13858779252623957
combined,D80,17,8,0.11719762346653827
