block,Dtag,n_dim,k,silhouette_score
clinical_only,Dfixed6,6,2,0.5317265764606748
clinical_only,Dfixed6,6,3,0.38501727982657663
clinical_only,Dfixed6,6,4,0.3087269401369156
clinical_only,Dfixed6,6,5,0.31297415189382893
clinical_only,Dfixed6,6,6,0.3186289699558461
clinical_only,Dfixed6,6,7,0.3245040363256815
clinical_only,Dfixed6,6,8,0.31351744223237826
