block,component,explained_variance_ratio,cumulative_variance_ratio
clinical_only,PC1,0.38139544404498443,0.38139544404498443
clinical_only,PC2,0.10017165594608736,0.4815670999910718
clinical_only,PC3,0.07742813724557544,0.5589952372366472
clinical_only,PC4,0.06268153821638031,0.6216767754530276
clinical_only,PC5,0.05664835089641916,0.6783251263494467
clinical_only,PC6,0.045330758457794454,0.7236558848072412
clinical_only,PC7,0.03842659312943265,0.7620824779366738
clinical_only,PC8,0.03462323259301341,0.7967057105296872
clinical_only,PC9,0.03378795265319269,0.8304936631828799
clinical_only,PC10,0.03220503972449236,0.8626987029073723
clinical_only,PC11,0.027390654801992247,0.8900893577093645
clinical_only,PC12,0.023732488324159837,0.9138218460335243
clinical_only,PC13,0.021126881243378064,0.9349487272769024
clinical_only,PC14,0.019192313517002485,0.9541410407939048
clinical_only,PC15,0.010121245542010049,0.9642622863359149
clinical_only,PC16,0.009435280655241728,0.9736975669911566
clinical_only,PC17,0.007526235036120388,0.981223802027277
clinical_only,PC18,0.0067563297821474485,0.9879801318094245
clinical_only,PC19,0.004195375191549554,0.992175507000974
clinical_only,PC20,0.0030469838530850753,0.9952224908540591
