block,Dtag,n_dim,kmeans_k_best,kmeans_kbest_ari,kmeans_kbest_nmi,hclust_k4_ari,hclust_k4_nmi,hclust_k6_ari,hclust_k6_nmi
environmental_only,Dfixed6,6,2,0.018241656696343877,0.013707928951737728,0.013779620791438902,0.016680707105925546,0.022456530169963223,0.02314490239646267
environmental_only,D80,10,2,0.016894503292093695,0.013198039906314343,0.004634281050465242,0.013272570794109597,1.5017721310837738e-05,0.01578008124375809
clinical_only,Dfixed6,6,2,0.0979628496468308,0.08473627031747222,0.07047455970160908,0.07767015417091583,0.04296238177123391,0.08191956185107013
clinical_only,D80,9,2,0.0979628496468308,0.08473627031747222,0.0617880696879057,0.09425034072598609,0.07687881172477139,0.11207032265282461
combined,Dfixed6,6,2,0.094279663493603,0.07932671659336078,0.06499665830377428,0.06858652403002465,0.04477527258074666,0.07154944890643451
combined,D80,17,2,0.094279663493603,0.07932671659336078,0.06094370186333566,0.06658712213416534,0.05491924695658853,0.06758177943382526
