disease,perm_idx,perm_mean_auc
acute flare-up of triaditis/chronic enteropathy,88,0.43311866538884114
acute flare-up of triaditis/chronic enteropathy,89,0.47306104891304823
acute flare-up of triaditis/chronic enteropathy,90,0.4587610072458734
acute flare-up of triaditis/chronic enteropathy,91,0.48681996535510486
acute flare-up of triaditis/chronic enteropathy,92,0.5561952029764017
acute flare-up of triaditis/chronic enteropathy,93,0.5309729216956478
acute flare-up of triaditis/chronic enteropathy,94,0.4566902044290755
acute flare-up of triaditis/chronic enteropathy,95,0.5383888213825925
acute flare-up of triaditis/chronic enteropathy,96,0.49278373001847947
acute flare-up of triaditis/chronic enteropathy,97,0.5903307740629973
acute flare-up of triaditis/chronic enteropathy,98,0.48680876955150243
acute flare-up of triaditis/chronic enteropathy,99,0.5682619697390644
acute flare-up of triaditis/chronic enteropathy,100,0.4994825691849517
acute flare-up of triaditis/chronic enteropathy,101,0.40782404861421995
acute flare-up of triaditis/chronic enteropathy,102,0.5412660909800904
acute flare-up of triaditis/chronic enteropathy,103,0.4821142038337852
acute flare-up of triaditis/chronic enteropathy,104,0.584803628433494
acute flare-up of triaditis/chronic enteropathy,105,0.5754229021666246
acute flare-up of triaditis/chronic enteropathy,106,0.4757775335329226
acute flare-up of triaditis/chronic enteropathy,107,0.5149973899862477
acute flare-up of triaditis/chronic enteropathy,108,0.42742136471483283
acute flare-up of triaditis/chronic enteropathy,109,0.47497153728934494
acute flare-up of triaditis/chronic enteropathy,110,0.43046466555248103
acute flare-up of triaditis/chronic enteropathy,111,0.4425797084475359
acute flare-up of triaditis/chronic enteropathy,112,0.5403062154514262
acute flare-up of triaditis/chronic enteropathy,113,0.5475665986811972
acute flare-up of triaditis/chronic enteropathy,114,0.48733818304412857
acute flare-up of triaditis/chronic enteropathy,115,0.4030137520340329
acute flare-up of triaditis/chronic enteropathy,116,0.5177573773170171
acute flare-up of triaditis/chronic enteropathy,117,0.5551303447358803
acute flare-up of triaditis/chronic enteropathy,118,0.5306278543323151
acute flare-up of triaditis/chronic enteropathy,119,0.5230245436824384
acute flare-up of triaditis/chronic enteropathy,120,0.5615851897778581
acute flare-up of triaditis/chronic enteropathy,121,0.4994330225068344
acute flare-up of triaditis/chronic enteropathy,122,0.5301209713326962
acute flare-up of triaditis/chronic enteropathy,123,0.4856028999440847
acute flare-up of triaditis/chronic enteropathy,124,0.4731757061885535
acute flare-up of triaditis/chronic enteropathy,125,0.5242014954536518
acute flare-up of triaditis/chronic enteropathy,126,0.5160869732593542
acute flare-up of triaditis/chronic enteropathy,127,0.5105455585868923
acute flare-up of triaditis/chronic enteropathy,128,0.5564139420521064
acute flare-up of triaditis/chronic enteropathy,129,0.49510725533170125
acute flare-up of triaditis/chronic enteropathy,130,0.5629711658596843
acute flare-up of triaditis/chronic enteropathy,131,0.5006314041683724
acute flare-up of triaditis/chronic enteropathy,132,0.5159306799135991
acute flare-up of triaditis/chronic enteropathy,133,0.4992289625295158
acute flare-up of triaditis/chronic enteropathy,134,0.4821089941582377
acute flare-up of triaditis/chronic enteropathy,135,0.665844362291159
acute flare-up of triaditis/chronic enteropathy,136,0.5141029669812159
acute flare-up of triaditis/chronic enteropathy,137,0.4324924006386972
acute flare-up of triaditis/chronic enteropathy,138,0.5480268439576836
acute flare-up of triaditis/chronic enteropathy,139,0.3665412522612704
acute flare-up of triaditis/chronic enteropathy,140,0.45366761073330314
acute flare-up of triaditis/chronic enteropathy,141,0.45664073882972483
acute flare-up of triaditis/chronic enteropathy,142,0.3914671872977521
acute flare-up of triaditis/chronic enteropathy,143,0.5697011758596033
acute flare-up of triaditis/chronic enteropathy,144,0.45046366269074917
acute flare-up of triaditis/chronic enteropathy,145,0.5789761424991604
acute flare-up of triaditis/chronic enteropathy,146,0.5816044836065786
acute flare-up of triaditis/chronic enteropathy,147,0.4670416820091674
acute flare-up of triaditis/chronic enteropathy,148,0.43557939466302065
acute flare-up of triaditis/chronic enteropathy,149,0.5782607994842037
acute flare-up of triaditis/chronic enteropathy,150,0.49554412253749885
acute flare-up of triaditis/chronic enteropathy,151,0.45027338200843775
acute flare-up of triaditis/chronic enteropathy,152,0.5105336815407802
acute flare-up of triaditis/chronic enteropathy,153,0.5452307781537747
acute flare-up of triaditis/chronic enteropathy,154,0.5144013820944282
acute flare-up of triaditis/chronic enteropathy,155,0.44151460254721125
acute flare-up of triaditis/chronic enteropathy,156,0.5591463215147426
acute flare-up of triaditis/chronic enteropathy,157,0.5477507668588213
acute flare-up of triaditis/chronic enteropathy,158,0.5601285799885288
acute flare-up of triaditis/chronic enteropathy,159,0.5226050834894119
acute flare-up of triaditis/chronic enteropathy,160,0.45535139756834236
acute flare-up of triaditis/chronic enteropathy,161,0.4947794362882082
acute flare-up of triaditis/chronic enteropathy,162,0.4483579432936652
acute flare-up of triaditis/chronic enteropathy,163,0.501280361505676
acute flare-up of triaditis/chronic enteropathy,164,0.46944720125247946
acute flare-up of triaditis/chronic enteropathy,165,0.5488915945097895
acute flare-up of triaditis/chronic enteropathy,166,0.5777030555782768
acute flare-up of triaditis/chronic enteropathy,167,0.5161006946320968
acute flare-up of triaditis/chronic enteropathy,168,0.5216651248843662
acute flare-up of triaditis/chronic enteropathy,169,0.5160597754322398
acute flare-up of triaditis/chronic enteropathy,170,0.5006373332558433
acute flare-up of triaditis/chronic enteropathy,171,0.5169503514678953
acute flare-up of triaditis/chronic enteropathy,172,0.48868538579977533
acute flare-up of triaditis/chronic enteropathy,173,0.4746821669914068
acute flare-up of triaditis/chronic enteropathy,174,0.5071716945072547
acute flare-up of triaditis/chronic enteropathy,175,0.554870250088576
acute flare-up of triaditis/chronic enteropathy,176,0.5597486887986619
acute flare-up of triaditis/chronic enteropathy,177,0.5540728450258925
acute flare-up of triaditis/chronic enteropathy,178,0.41072041417589633
acute flare-up of triaditis/chronic enteropathy,179,0.6284696353949467
acute flare-up of triaditis/chronic enteropathy,180,0.5572147995077253
acute flare-up of triaditis/chronic enteropathy,181,0.4931356117395952
acute flare-up of triaditis/chronic enteropathy,182,0.5686741414666858
acute flare-up of triaditis/chronic enteropathy,183,0.491531587225517
acute flare-up of triaditis/chronic enteropathy,184,0.5157820844576154
acute flare-up of triaditis/chronic enteropathy,185,0.4594568909886041
acute flare-up of triaditis/chronic enteropathy,186,0.5017596855675909
acute flare-up of triaditis/chronic enteropathy,187,0.5196818007019164
acute flare-up of triaditis/chronic enteropathy,188,0.5636202822148192
acute flare-up of triaditis/chronic enteropathy,189,0.4695430599185988
acute flare-up of triaditis/chronic enteropathy,190,0.4689598816069992
acute flare-up of triaditis/chronic enteropathy,191,0.4839154582639772
acute flare-up of triaditis/chronic enteropathy,192,0.4883038971282094
acute flare-up of triaditis/chronic enteropathy,193,0.47925644963074543
acute flare-up of triaditis/chronic enteropathy,194,0.5300610281352514
acute flare-up of triaditis/chronic enteropathy,195,0.4614589138533704
acute flare-up of triaditis/chronic enteropathy,196,0.43347385145683726
acute flare-up of triaditis/chronic enteropathy,197,0.5144334042300304
acute flare-up of triaditis/chronic enteropathy,198,0.49397599068117265
acute flare-up of triaditis/chronic enteropathy,199,0.5169513544959561
acute flare-up of triaditis/chronic enteropathy,200,0.5026455859007871
acute gastroenteritis,1,0.545747295651551
acute gastroenteritis,2,0.5373322442448414
acute gastroenteritis,3,0.529831252243533
acute gastroenteritis,4,0.5461257050966799
acute gastroenteritis,5,0.4434467739935587
acute gastroenteritis,6,0.5049098966699819
