disease,observed_auc,perm_mean,perm_std,p_value,effect_size,n_perm
acute flare-up of triaditis/chronic enteropathy,0.5257153231663035,0.5010770541810566,0.051498515032054215,0.31343283582089554,0.024638268985246903,200
acute gastroenteritis,0.610359477124183,0.497806886064527,0.05765079737494384,0.01990049751243781,0.11255259105965604,200
acute pancreatitis,0.49976315789473685,0.497123869452953,0.04988503931931731,0.4577114427860697,0.002639288441783849,200
parvovirus enteritis,0.6850972689861579,0.4993107047817803,0.06157549316905012,0.004975124378109453,0.18578656420437756,200
