block,Dtag,n_dim,method,k_label,k,ari,nmi
combined,D80,17,kmeans,k4,4,0.06092446490382099,0.0699537009379774
combined,D80,17,kmeans,k6,6,0.04266995475451172,0.06516305031371594
combined,D80,17,kmeans,kbest,2,0.0948392451458084,0.07945365128401542
