block,Dtag,n_dim,kmeans_k_best,kmeans_kbest_ari,kmeans_kbest_nmi,hclust_k4_ari,hclust_k4_nmi,hclust_k6_ari,hclust_k6_nmi
environmental_only,Dfixed6,6,2,0.016532256419311837,0.012890995025003103,0.011485795095671485,0.015363712430465876,0.017934266159178282,0.019068499654090194
environmental_only,D80,10,2,0.016532256419311837,0.012890995025003103,0.0035580102917912356,0.01212379153648402,-0.0009605371177594754,0.014875966564970778
clinical_only,Dfixed6,6,2,0.09851704878191757,0.0848566180008316,0.06095281587429305,0.08493260832944823,0.06536906011397789,0.08618542873081601
clinical_only,D80,9,2,0.09851704878191757,0.0848566180008316,0.03786665792015718,0.06999159661964591,0.051557643072752665,0.09031083474898563
combined,Dfixed6,6,2,0.0948392451458084,0.07945365128401542,0.08087452030224576,0.07909415093263013,0.04693425884906029,0.0708413849869752
combined,D80,17,2,0.0948392451458084,0.07945365128401542,0.07347235767513045,0.07689808535076148,0.058094864565843306,0.073254164929375
