block,Dtag,n_dim,k,silhouette_score
environmental_only,Dfixed6,6,2,0.25305678449389046
environmental_only,Dfixed6,6,3,0.25273873538366537
environmental_only,Dfixed6,6,4,0.19132075613285626
environmental_only,Dfixed6,6,5,0.20583347510576117
environmental_only,Dfixed6,6,6,0.19966218818788276
environmental_only,Dfixed6,6,7,0.21196159310888782
environmental_only,Dfixed6,6,8,0.2143930779364168
