cluster,diagnosis,count,row_pct,col_pct
1,acute flare-up of triaditis/chronic enteropathy,18,25.71428571428571,20.224719101123593
1,acute gastroenteritis,31,44.285714285714285,51.66666666666667
1,acute pancreatitis,10,14.285714285714285,8.064516129032258
1,parvovirus enteritis,11,15.714285714285714,26.82926829268293
2,acute flare-up of triaditis/chronic enteropathy,60,32.78688524590164,67.41573033707866
2,acute gastroenteritis,24,13.114754098360656,40.0
2,acute pancreatitis,84,45.90163934426229,67.74193548387096
2,parvovirus enteritis,15,8.19672131147541,36.58536585365854
3,acute flare-up of triaditis/chronic enteropathy,1,20.0,1.1235955056179776
3,acute gastroenteritis,0,0.0,0.0
3,acute pancreatitis,3,60.0,2.4193548387096775
3,parvovirus enteritis,1,20.0,2.4390243902439024
4,acute flare-up of triaditis/chronic enteropathy,10,17.857142857142858,11.235955056179774
4,acute gastroenteritis,5,8.928571428571429,8.333333333333332
4,acute pancreatitis,27,48.214285714285715,21.774193548387096
4,parvovirus enteritis,14,25.0,34.146341463414636
