severity_marker,antecedents,support,support_count,confidence,lift,baseline_prevalence,leverage,conviction
leukocyte_increased,"precipitation_hours_mean_7d_low, snowfall_sum_mean_13d_low",0.050955414012738856,16,0.24615384615384617,1.5155354449472098,0.1624203821656051,0.017333360379731433,1.1110750032497076
leukocyte_increased,surface_pressure_max_mean_13d_low,0.05732484076433121,18,0.22784810126582278,1.4028294862248698,0.1624203821656051,0.01646111404113757,1.084734259162577
leukocyte_increased,precipitation_sum_day1_high,0.050955414012738856,16,0.20253164556962025,1.2469595433109952,0.1624203821656051,0.010091687289545216,1.0502982509351937
leukocyte_increased,daylight_duration_day1_high,0.050955414012738856,16,0.2,1.231372549019608,0.1624203821656051,0.009574424925960487,1.0469745222929936
leukocyte_increased,surface_pressure_max_day1_low,0.050955414012738856,16,0.2,1.231372549019608,0.1624203821656051,0.009574424925960487,1.0469745222929936
leukocyte_increased,wind_direction_10m_dominant_day1_low,0.050955414012738856,16,0.2,1.231372549019608,0.1624203821656051,0.009574424925960487,1.0469745222929936
neutrophil_increased,moon_near_new,0.05732484076433121,18,0.4090909090909091,1.8890374331550803,0.21656050955414013,0.02697878210069374,1.3258206761391478
neutrophil_increased,"snowfall_sum_mean_13d_low, surface_pressure_max_mean_13d_low",0.05732484076433121,18,0.375,1.7316176470588234,0.21656050955414013,0.024220049494908517,1.253503184713376
neutrophil_increased,"precipitation_hours_mean_13d_low, precipitation_hours_mean_7d_low, snowfall_sum_mean_13d_low",0.050955414012738856,16,0.35555555555555557,1.641830065359477,0.21656050955414013,0.01991967219765508,1.2156819679332311
neutrophil_increased,"precipitation_hours_mean_2d_high, snowfall_sum_mean_13d_low",0.054140127388535034,17,0.33333333333333337,1.5392156862745099,0.21656050955414013,0.018966286664773423,1.1751592356687899
neutrophil_increased,"precipitation_hours_day1_high, snowfall_sum_mean_13d_low",0.050955414012738856,16,0.32,1.4776470588235293,0.21656050955414013,0.01647125644042355,1.1521168977145
neutrophil_increased,"apparent_temperature_max_day1_high, daylight_duration_day1_high",0.050955414012738856,16,0.3137254901960785,1.4486735870818919,0.21656050955414013,0.015781573288977245,1.1415832575068245
neutrophil_increased,"apparent_temperature_max_day1_high, daylight_duration_day1_high, snowfall_sum_mean_13d_low",0.050955414012738856,16,0.3137254901960785,1.4486735870818919,0.21656050955414013,0.015781573288977245,1.1415832575068245
neutrophil_increased,surface_pressure_max_mean_13d_low,0.07643312101910828,24,0.3037974683544304,1.4028294862248696,0.21656050955414013,0.02194815205485009,1.1253039953676898
neutrophil_increased,daylight_duration_day1_high,0.07643312101910828,24,0.3,1.3852941176470588,0.21656050955414013,0.021258468903403785,1.1191992720655142
neutrophil_increased,"precipitation_sum_mean_2d_high, snowfall_sum_mean_13d_low",0.054140127388535034,17,0.29824561403508776,1.3771929824561404,0.21656050955414013,0.014828187756095589,1.1164012738853504
albumin_low,"surface_pressure_max_day1_low, surface_pressure_max_mean_13d_low",0.05732484076433121,18,0.375,1.4359756097560976,0.2611464968152866,0.017404357174733258,1.1821656050955416
albumin_low,"snowfall_sum_mean_13d_low, wind_direction_10m_dominant_peak_7d_low",0.050955414012738856,16,0.35555555555555557,1.3615176151761519,0.2611464968152866,0.013529960647490777,1.1464968152866244
albumin_low,surface_pressure_max_mean_13d_low,0.08917197452229299,28,0.35443037974683544,1.357209015128126,0.2611464968152866,0.023469511947746352,1.1444985637567129
albumin_low,"precipitation_hours_mean_13d_low, precipitation_hours_peak_14d_low, snowfall_sum_mean_13d_low",0.050955414012738856,16,0.3478260869565218,1.3319194061505835,0.2611464968152866,0.012698283906040816,1.1329087048832271
albumin_low,"precipitation_hours_mean_13d_low, precipitation_sum_mean_13d_low, snowfall_sum_mean_13d_low",0.054140127388535034,17,0.34693877551020413,1.3285216525634647,0.2611464968152866,0.01338796705748712,1.1313694267515926
albumin_low,"precipitation_sum_mean_13d_low, snowfall_sum_mean_13d_low",0.06050955414012739,19,0.3392857142857143,1.2992160278745646,0.2611464968152866,0.01393565661892978,1.1182647615768635
albumin_low,"precipitation_hours_day1_low, wind_gusts_10m_max_day1_low",0.050955414012738856,16,0.326530612244898,1.2503733200597313,0.2611464968152866,0.010203253681690942,1.097085504728817
albumin_low,"precipitation_sum_day1_low, wind_gusts_10m_max_day1_low",0.050955414012738856,16,0.326530612244898,1.2503733200597313,0.2611464968152866,0.010203253681690942,1.097085504728817
albumin_low,"precipitation_sum_peak_14d_low, snowfall_sum_mean_13d_low",0.050955414012738856,16,0.326530612244898,1.2503733200597313,0.2611464968152866,0.010203253681690942,1.097085504728817
albumin_low,"precipitation_hours_day1_low, precipitation_sum_day1_low, wind_gusts_10m_max_day1_low",0.050955414012738856,16,0.326530612244898,1.2503733200597313,0.2611464968152866,0.010203253681690942,1.097085504728817
BUN_increased,"precipitation_hours_mean_7d_low, precipitation_hours_peak_14d_low, surface_pressure_max_day1_high",0.06369426751592357,20,0.7692307692307693,1.9961856325492688,0.3853503184713376,0.031786279362245935,2.6634819532908707
BUN_increased,"precipitation_hours_peak_14d_low, precipitation_sum_mean_7d_low, surface_pressure_max_day1_high",0.05732484076433121,18,0.75,1.946280991735537,0.3853503184713376,0.02787131323785955,2.4585987261146496
BUN_increased,"precipitation_hours_mean_7d_low, precipitation_hours_peak_14d_low, surface_pressure_max_mean_13d_high",0.06369426751592357,20,0.7407407407407408,1.9222528313437406,0.3853503184713376,0.03055904904864295,2.3707916287534125
BUN_increased,"precipitation_hours_peak_14d_low, precipitation_sum_mean_7d_low, surface_pressure_max_mean_13d_high",0.06050955414012739,19,0.7307692307692308,1.8963763509218055,0.3853503184713376,0.028601565986449758,2.282984531392175
BUN_increased,"precipitation_hours_peak_14d_low, precipitation_hours_peak_7d_low, surface_pressure_max_day1_high",0.050955414012738856,16,0.7272727272727273,1.8873027798647632,0.3853503184713376,0.023956347113473164,2.253715498938429
BUN_increased,"precipitation_hours_peak_14d_low, precipitation_hours_peak_7d_low, surface_pressure_max_mean_13d_high",0.05732484076433121,18,0.7200000000000001,1.8684297520661157,0.3853503184713376,0.026644082924256563,2.1951774340309376
BUN_increased,"precipitation_hours_mean_7d_low, precipitation_sum_mean_13d_low, surface_pressure_max_day1_high",0.054140127388535034,17,0.7083333333333334,1.8381542699724518,0.3853503184713376,0.024686599862063372,2.1073703366697
BUN_increased,"precipitation_hours_peak_14d_low, surface_pressure_max_day1_high, surface_pressure_max_mean_13d_high",0.06050955414012739,19,0.7037037037037037,1.8261401897765532,0.3853503184713376,0.02737433567284677,2.0744426751592355
BUN_increased,"precipitation_sum_mean_7d_low, surface_pressure_max_day1_high, surface_pressure_max_mean_13d_high",0.06050955414012739,19,0.7037037037037037,1.8261401897765532,0.3853503184713376,0.02737433567284677,2.0744426751592355
BUN_increased,"precipitation_hours_mean_13d_low, precipitation_hours_peak_7d_low, surface_pressure_max_mean_13d_high",0.050955414012738856,16,0.6956521739130436,1.8052461372619477,0.3853503184713376,0.022729116799870178,2.0195632393084626
creatinine_increased,"precipitation_hours_peak_14d_low, precipitation_sum_mean_13d_low, precipitation_sum_mean_7d_low",0.054140127388535034,17,0.425,1.4505434782608695,0.2929936305732484,0.016816098016146704,1.2295762946552204
creatinine_increased,"precipitation_hours_mean_13d_low, precipitation_hours_peak_14d_low, precipitation_sum_mean_7d_low",0.054140127388535034,17,0.41463414634146345,1.4151643690349949,0.2929936305732484,0.015882997281836994,1.2078025477707008
