track,consequent_name,antecedents,support,support_count,confidence,lift,baseline_prevalence,leverage,conviction
severity,BUN_high,"precipitation_hours_mean_7d_low, precipitation_hours_peak_14d_low, surface_pressure_max_day1_high",0.06349206349206349,20,0.7692307692307692,2.0025429116338205,0.38412698412698415,0.031786344167296546,2.668783068783068
severity,BUN_high,"precipitation_hours_peak_14d_low, precipitation_sum_mean_7d_low, surface_pressure_max_day1_high",0.05714285714285714,18,0.7499999999999999,1.9524793388429749,0.38412698412698415,0.027876039304610727,2.4634920634920627
severity,BUN_high,"precipitation_hours_mean_7d_low, precipitation_hours_peak_14d_low, surface_pressure_max_mean_13d_high",0.06349206349206349,20,0.7407407407407407,1.9283746556473826,0.38412698412698415,0.030566893424036276,2.3755102040816323
severity,BUN_high,"precipitation_hours_peak_14d_low, precipitation_sum_mean_7d_low, surface_pressure_max_mean_13d_high",0.06031746031746032,19,0.7307692307692308,1.9024157660521297,0.38412698412698415,0.028611740992693376,2.2875283446712027
severity,BUN_high,"precipitation_hours_peak_14d_low, precipitation_hours_peak_7d_low, surface_pressure_max_day1_high",0.050793650793650794,16,0.7272727272727273,1.8933132982719758,0.38412698412698415,0.023965734441924916,2.2582010582010583
severity,BUN_high,"precipitation_hours_peak_14d_low, precipitation_hours_peak_7d_low, surface_pressure_max_mean_13d_high",0.05714285714285714,18,0.72,1.874380165289256,0.38412698412698415,0.026656588561350465,2.199546485260771
severity,BUN_high,"precipitation_hours_mean_7d_low, precipitation_sum_mean_13d_low, surface_pressure_max_day1_high",0.05396825396825397,17,0.7083333333333333,1.8440082644628095,0.38412698412698415,0.024701436130007557,2.1115646258503395
severity,BUN_high,"precipitation_hours_peak_14d_low, surface_pressure_max_day1_high, surface_pressure_max_mean_13d_high",0.06031746031746032,19,0.7037037037037037,1.8319559228650137,0.38412698412698415,0.027392290249433106,2.0785714285714287
severity,BUN_high,"precipitation_sum_mean_7d_low, surface_pressure_max_day1_high, surface_pressure_max_mean_13d_high",0.06031746031746032,19,0.7037037037037037,1.8319559228650137,0.38412698412698415,0.027392290249433106,2.0785714285714287
severity,BUN_high,"precipitation_hours_mean_13d_low, precipitation_hours_peak_7d_low, surface_pressure_max_mean_13d_high",0.050793650793650794,16,0.6956521739130435,1.8109953287818898,0.38412698412698415,0.022746283698664646,2.023582766439909
severity,CREA_high,"precipitation_hours_peak_14d_low, precipitation_sum_mean_13d_low, precipitation_sum_mean_7d_low",0.05396825396825397,17,0.42500000000000004,1.455163043478261,0.2920634920634921,0.01688082640463593,1.2311939268461007
severity,CREA_high,"precipitation_hours_mean_13d_low, precipitation_hours_peak_14d_low, precipitation_sum_mean_7d_low",0.05396825396825397,17,0.4146341463414634,1.4196712619300105,0.2920634920634921,0.015953640715545475,1.209391534391534
severity,CREA_high,"precipitation_hours_mean_13d_high, precipitation_hours_mean_7d_high, precipitation_sum_mean_7d_high",0.050793650793650794,16,0.41025641025641024,1.4046822742474916,0.2920634920634921,0.014633408919123202,1.200414078674948
severity,CREA_high,wind_direction_10m_dominant_mean_7d_high,0.10158730158730159,32,0.4050632911392405,1.3869014859658777,0.2920634920634921,0.028339632149155955,1.1899358324890237
