model,feature_block,n_folds,accuracy_mean,accuracy_std,accuracy_mean_pm_std,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_mean_pm_std,macro_f1_mean,macro_f1_std,macro_f1_mean_pm_std,weighted_f1_mean,weighted_f1_std,weighted_f1_mean_pm_std
hist_gb,clinical_only,5,0.5809523809523809,0.10742174168691195,0.5810 ± 0.1074,0.6063888888888889,0.08596863212751812,0.6064 ± 0.0860,0.6099259550715472,0.10183174022343389,0.6099 ± 0.1018,0.5772032264714533,0.10987653475938608,0.5772 ± 0.1099
hist_gb,combined,5,0.5746031746031746,0.07134033350553724,0.5746 ± 0.0713,0.6055,0.08543928110753765,0.6055 ± 0.0854,0.6143144878113553,0.07352779194815504,0.6143 ± 0.0735,0.5756971482105351,0.0668036970461159,0.5757 ± 0.0668
hist_gb,environmental_only,5,0.3682539682539682,0.051921991218400396,0.3683 ± 0.0519,0.33888888888888885,0.029939979825900156,0.3389 ± 0.0299,0.3434075442634589,0.037787635452284245,0.3434 ± 0.0378,0.3630820568821303,0.04844496553411488,0.3631 ± 0.0484
logistic_ovr,clinical_only,5,0.5555555555555556,0.048923920658483964,0.5556 ± 0.0489,0.5988055555555556,0.03303112425808554,0.5988 ± 0.0330,0.5854804468771285,0.04328329128379915,0.5855 ± 0.0433,0.5492267203439289,0.052847390368925024,0.5492 ± 0.0528
logistic_ovr,combined,5,0.5333333333333333,0.050942242971051474,0.5333 ± 0.0509,0.5793611111111112,0.03820550344946602,0.5794 ± 0.0382,0.5739070807272848,0.045050254609357125,0.5739 ± 0.0451,0.5299459889283957,0.05166273028361631,0.5299 ± 0.0517
logistic_ovr,environmental_only,5,0.3079365079365079,0.04969039949999532,0.3079 ± 0.0497,0.3240555555555556,0.046801784384838785,0.3241 ± 0.0468,0.3088115947179816,0.042387304181034216,0.3088 ± 0.0424,0.30168315194226897,0.049182651783374616,0.3017 ± 0.0492
random_forest,clinical_only,5,0.5365079365079365,0.05069434737355972,0.5365 ± 0.0507,0.5303888888888888,0.05087519147899781,0.5304 ± 0.0509,0.5281156673525702,0.04708789159811975,0.5281 ± 0.0471,0.5109964370938188,0.049178787354888606,0.5110 ± 0.0492
random_forest,combined,5,0.5333333333333333,0.050942242971051474,0.5333 ± 0.0509,0.5218055555555555,0.070413447767761,0.5218 ± 0.0704,0.5090566670412588,0.06383102300150058,0.5091 ± 0.0638,0.48634662314618227,0.053778438052041716,0.4863 ± 0.0538
random_forest,environmental_only,5,0.37777777777777777,0.045453400200877306,0.3778 ± 0.0455,0.34236111111111106,0.039398814569808746,0.3424 ± 0.0394,0.35144652387195696,0.04242259870933031,0.3514 ± 0.0424,0.3669609385163707,0.0426422997218333,0.3670 ± 0.0426
