,precision,recall,f1-score,support
acute flare-up of triaditis/chronic enteropathy,0.29411764705882354,0.2777777777777778,0.2857142857142857,18.0
acute gastroenteritis,0.5,0.25,0.3333333333333333,12.0
acute pancreatitis,0.47058823529411764,0.64,0.5423728813559322,25.0
parvovirus enteritis,0.6666666666666666,0.5,0.5714285714285714,8.0
accuracy,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444
macro avg,0.4828431372549019,0.41694444444444445,0.43321226795803064,63.0
weighted avg,0.4506691565515094,0.4444444444444444,0.43291440870133363,63.0
