model,feature_block,class_label,n_folds,precision_mean,precision_std,precision_mean_pm_std,recall_mean,recall_std,recall_mean_pm_std,f1_mean,f1_std,f1_mean_pm_std,support_mean,support_std
hist_gb,clinical_only,acute flare-up of triaditis/chronic enteropathy,5,0.48850140056022406,0.13953086416497884,0.4885 ± 0.1395,0.4444444444444445,0.13028932666176193,0.4444 ± 0.1303,0.4637258922707839,0.13081311666770612,0.4637 ± 0.1308,18.0,0.0
hist_gb,clinical_only,acute gastroenteritis,5,0.6651126651126651,0.09363907126858197,0.6651 ± 0.0936,0.6333333333333333,0.045643546458763805,0.6333 ± 0.0456,0.6457971014492754,0.05184436989057706,0.6458 ± 0.0518,12.0,0.0
hist_gb,clinical_only,acute pancreatitis,5,0.5360119047619049,0.10764967761014965,0.5360 ± 0.1076,0.595,0.20056171120131577,0.5950 ± 0.2006,0.5611248532996298,0.14972413735765558,0.5611 ± 0.1497,24.8,0.4472135954999579
hist_gb,clinical_only,parvovirus enteritis,5,0.7980952380952381,0.18327457314367895,0.7981 ± 0.1833,0.7527777777777778,0.12857540901147907,0.7528 ± 0.1286,0.7690559732664995,0.14305854763541628,0.7691 ± 0.1431,8.2,0.4472135954999579
hist_gb,combined,acute flare-up of triaditis/chronic enteropathy,5,0.46313725490196084,0.08845995364396714,0.4631 ± 0.0885,0.4111111111111111,0.03042903097250921,0.4111 ± 0.0304,0.4325637623470441,0.04579215641011793,0.4326 ± 0.0458,18.0,0.0
hist_gb,combined,acute gastroenteritis,5,0.8202602952602952,0.06174779514739045,0.8203 ± 0.0617,0.6666666666666667,0.13176156917368248,0.6667 ± 0.1318,0.7289026915113872,0.0813627191360188,0.7289 ± 0.0814,12.0,0.0
hist_gb,combined,acute pancreatitis,5,0.5190549169859515,0.08538020150259204,0.5191 ± 0.0854,0.5886666666666667,0.0954404992070394,0.5887 ± 0.0954,0.549207390059849,0.0771543249891406,0.5492 ± 0.0772,24.8,0.4472135954999579
hist_gb,combined,parvovirus enteritis,5,0.7431746031746032,0.13427670801724548,0.7432 ± 0.1343,0.7555555555555555,0.1535962922327695,0.7556 ± 0.1536,0.7465841073271415,0.1344205118279632,0.7466 ± 0.1344,8.2,0.4472135954999579
hist_gb,environmental_only,acute flare-up of triaditis/chronic enteropathy,5,0.31995614035087716,0.10128807013870372,0.3200 ± 0.1013,0.32222222222222224,0.10686324478706302,0.3222 ± 0.1069,0.3208797032326444,0.10406808734900538,0.3209 ± 0.1041,18.0,0.0
hist_gb,environmental_only,acute gastroenteritis,5,0.3848901098901099,0.11257201266953089,0.3849 ± 0.1126,0.3333333333333333,0.05892556509887897,0.3333 ± 0.0589,0.34974898785425107,0.05643160073755091,0.3497 ± 0.0564,12.0,0.0
