variant,track,stable_rules_n,max_lift,median_support
no_d7,diagnosis,111,1.8057692307692308,0.0575079872204472
no_d7,severity,1834,2.0637362637362635,0.060702875399361
no_d7,cluster_kbest,322,2.2759280520474547,0.060702875399361
no_d7,cluster_k6,1058,5.216666666666667,0.0702875399361022
