variant,k_best,sil_k_best,sil_k6,ari_k_best,nmi_k_best
original_d7_twice,2,0.2536381213143451,0.1971138864833069,0.0182416566963438,0.0137079289517377
d7_first_only,2,0.2530567844938904,0.1996621881878827,0.0165322564193118,0.0128909950250031
d7_second_only,2,0.254146404931886,0.1959226746288412,0.0177607530630893,0.0135550488709913
no_d7,3,0.2536448567445898,0.2047222848223296,0.0160763946524615,0.0207841596585716
