variant,disease,roc_auc_mean,roc_auc_std,balanced_accuracy_mean,test_auc,test_balanced_accuracy,perm_p_value,perm_observed_auc,spearman_mean,jaccard_top10_mean
no_d7,acute flare-up of triaditis/chronic enteropathy,0.5215323166303559,0.0540370161461968,0.4841859774212714,0.5148148148148148,0.4388888888888889,0.3432835820895522,0.5215323166303559,0.8226684537791537,0.3657509157509157
no_d7,acute gastroenteritis,0.5937581699346405,0.0585152780327791,0.5649215686274509,0.7026143790849674,0.5465686274509804,0.0298507462686567,0.5937581699346405,0.8412351059766298,0.5719280719280719
no_d7,acute pancreatitis,0.4615438596491228,0.1056439493975936,0.4671754385964912,0.4747368421052631,0.4757894736842105,0.8258706467661692,0.4615438596491228,0.8072704652718399,0.3728937728937729
no_d7,parvovirus enteritis,0.6710175832398055,0.1358084741026897,0.6070454545454546,0.5840909090909091,0.5886363636363636,0.0049751243781094,0.6710175832398055,0.8239185745063973,0.460939060939061
