model,disease,feature_block,fold,n_train,n_test,n_positive_train,n_positive_test,n_numeric_features,n_categorical_features,balanced_accuracy,recall,precision,f1,roc_auc
lgbm_binary_acute_gastroenteritis,acute gastroenteritis,combined,2,251,63,48,12,58,30,0.9387254901960784,0.9166666666666666,0.8461538461538461,0.88,0.934640522875817
lgbm_binary_acute_gastroenteritis,acute gastroenteritis,combined,3,251,63,48,12,58,30,0.8333333333333333,0.6666666666666666,1.0,0.8,0.9444444444444444
lgbm_binary_acute_gastroenteritis,acute gastroenteritis,combined,4,251,63,48,12,58,30,0.75,0.5,1.0,0.6666666666666666,0.8627450980392157
lgbm_binary_acute_gastroenteritis,acute gastroenteritis,combined,5,252,62,48,12,58,30,0.8333333333333333,0.6666666666666666,1.0,0.8,0.8666666666666667
lgbm_binary_acute_pancreatitis,acute pancreatitis,clinical_only,1,251,63,99,25,27,25,0.5289473684210526,0.4,0.43478260869565216,0.4166666666666667,0.6136842105263158
lgbm_binary_acute_pancreatitis,acute pancreatitis,clinical_only,2,251,63,99,25,27,25,0.7284210526315789,0.72,0.6428571428571429,0.6792452830188679,0.8
lgbm_binary_acute_pancreatitis,acute pancreatitis,clinical_only,3,251,63,99,25,27,25,0.5747368421052632,0.36,0.5294117647058824,0.42857142857142855,0.7200000000000001
lgbm_binary_acute_pancreatitis,acute pancreatitis,clinical_only,4,251,63,99,25,27,25,0.4889473684210527,0.32,0.38095238095238093,0.34782608695652173,0.5557894736842105
lgbm_binary_acute_pancreatitis,acute pancreatitis,clinical_only,5,252,62,100,24,27,25,0.5635964912280702,0.4166666666666667,0.47619047619047616,0.4444444444444444,0.6326754385964912
lgbm_binary_acute_pancreatitis,acute pancreatitis,environmental_only,1,251,63,99,25,31,5,0.4889473684210527,0.32,0.38095238095238093,0.34782608695652173,0.4789473684210527
lgbm_binary_acute_pancreatitis,acute pancreatitis,environmental_only,2,251,63,99,25,31,5,0.4889473684210527,0.32,0.38095238095238093,0.34782608695652173,0.5178947368421052
lgbm_binary_acute_pancreatitis,acute pancreatitis,environmental_only,3,251,63,99,25,31,5,0.5552631578947369,0.4,0.47619047619047616,0.43478260869565216,0.5189473684210527
lgbm_binary_acute_pancreatitis,acute pancreatitis,environmental_only,4,251,63,99,25,31,5,0.5552631578947369,0.4,0.47619047619047616,0.43478260869565216,0.5626315789473684
lgbm_binary_acute_pancreatitis,acute pancreatitis,environmental_only,5,252,62,100,24,31,5,0.42214912280701755,0.2916666666666667,0.2916666666666667,0.2916666666666667,0.4155701754385965
lgbm_binary_acute_pancreatitis,acute pancreatitis,combined,1,251,63,99,25,58,30,0.5689473684210526,0.48,0.48,0.48,0.5873684210526315
lgbm_binary_acute_pancreatitis,acute pancreatitis,combined,2,251,63,99,25,58,30,0.6821052631578948,0.68,0.5862068965517241,0.6296296296296297,0.7547368421052632
lgbm_binary_acute_pancreatitis,acute pancreatitis,combined,3,251,63,99,25,58,30,0.7278947368421053,0.64,0.6956521739130435,0.6666666666666666,0.7578947368421052
lgbm_binary_acute_pancreatitis,acute pancreatitis,combined,4,251,63,99,25,58,30,0.48947368421052634,0.4,0.38461538461538464,0.39215686274509803,0.5663157894736842
lgbm_binary_acute_pancreatitis,acute pancreatitis,combined,5,252,62,100,24,58,30,0.4956140350877193,0.3333333333333333,0.38095238095238093,0.35555555555555557,0.5296052631578947
lgbm_binary_parvovirus_enteritis,parvovirus enteritis,clinical_only,1,251,63,33,8,27,25,0.803409090909091,0.625,0.8333333333333334,0.7142857142857143,0.9818181818181818
lgbm_binary_parvovirus_enteritis,parvovirus enteritis,clinical_only,2,251,63,33,8,27,25,0.9818181818181818,1.0,0.8,0.8888888888888888,1.0
lgbm_binary_parvovirus_enteritis,parvovirus enteritis,clinical_only,3,251,63,33,8,27,25,0.8477272727272727,0.75,0.6666666666666666,0.7058823529411765,0.975
lgbm_binary_parvovirus_enteritis,parvovirus enteritis,clinical_only,4,251,63,32,9,27,25,0.8796296296296297,0.7777777777777778,0.875,0.8235294117647058,0.9588477366255144
lgbm_binary_parvovirus_enteritis,parvovirus enteritis,clinical_only,5,252,62,33,8,27,25,0.8657407407407407,0.75,0.8571428571428571,0.8,0.9675925925925926
lgbm_binary_parvovirus_enteritis,parvovirus enteritis,environmental_only,1,251,63,33,8,31,5,0.6602272727272727,0.375,0.5,0.42857142857142855,0.7613636363636365
lgbm_binary_parvovirus_enteritis,parvovirus enteritis,environmental_only,2,251,63,33,8,31,5,0.7136363636363636,0.5,0.5,0.5,0.8909090909090909
lgbm_binary_parvovirus_enteritis,parvovirus enteritis,environmental_only,3,251,63,33,8,31,5,0.6068181818181818,0.25,0.5,0.3333333333333333,0.5045454545454545
lgbm_binary_parvovirus_enteritis,parvovirus enteritis,environmental_only,4,251,63,32,9,31,5,0.6296296296296297,0.3333333333333333,0.42857142857142855,0.375,0.6491769547325102
lgbm_binary_parvovirus_enteritis,parvovirus enteritis,environmental_only,5,252,62,33,8,31,5,0.5439814814814814,0.125,0.3333333333333333,0.18181818181818182,0.6388888888888888
lgbm_binary_parvovirus_enteritis,parvovirus enteritis,combined,1,251,63,33,8,58,30,0.8125,0.625,1.0,0.7692307692307693,0.9750000000000001
lgbm_binary_parvovirus_enteritis,parvovirus enteritis,combined,2,251,63,33,8,58,30,1.0,1.0,1.0,1.0,1.0
lgbm_binary_parvovirus_enteritis,parvovirus enteritis,combined,3,251,63,33,8,58,30,0.8386363636363636,0.75,0.6,0.6666666666666666,0.9613636363636364
lgbm_binary_parvovirus_enteritis,parvovirus enteritis,combined,4,251,63,32,9,58,30,0.9259259259259258,0.8888888888888888,0.8,0.8421052631578947,0.9506172839506173
lgbm_binary_parvovirus_enteritis,parvovirus enteritis,combined,5,252,62,33,8,58,30,0.8032407407407407,0.625,0.8333333333333334,0.7142857142857143,0.9837962962962963
