disease,feature_block,feature,mean_abs_shap,std_abs_shap,n_folds
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__Albumin interpretation_lower limit,0.019975127990332915,0.013942100625285765,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__BUN interpreattion_upper limit,0.019598356775601684,0.038346089772993204,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__sex_M,0.018496634436754082,0.0063350198626505785,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__K interpreatation_physiological,0.018359090147024075,0.014870334960257005,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__BUN interpreattion_increased,0.018244373677707933,0.013094659788480319,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__Na interpreatation_lower limit,0.018195265245357944,0.019449248890887713,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__lymphocyte count interpreatation_physiological,0.016117116587656896,0.031043392687751522,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__Cl interpreatation_increased,0.015524648795887561,0.015049767965777668,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__leukocyte count interpreatation_physiological,0.014373737357428657,0.01500766069216531,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__hematocrit interpretation_physiological,0.014039736872310572,0.01888068030491834,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,num__Cl value__missing,0.013910238581772478,0.0171589622603075,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__CREA interpretation_upper limit,0.013261838327548597,0.012669550725270911,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,num__Albumin concentration (in g/l)__missing,0.010892253921663611,0.01180139080282725,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__hematocrit interpretation_upper limit,0.010749606452825139,0.019666014244998992,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,num__BUN concentration__missing,0.010476147089811141,0.006679795961216037,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__neutrophil count interpretation_lower limit,0.00941754293900415,0.017919313206473234,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__leukocyte count interpreatation_lower limit,0.007678417427970359,0.013246445355826485,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,num__initial hematocrit__missing,0.005951856736085272,0.0037337719162792555,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__initial total protein interpreatation_lower limit,0.005585762991477055,0.010129238669457042,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,num__CREA concentration __missing,0.004313479628815302,0.009645233669591576,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__initial total protein interpreatation_Missing,0.004264837358531304,0.009536466246656638,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__neutrophil count interpretation_increased,0.004082671233633114,0.005591623646811459,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__K interpreatation_decreased,0.0036092410862112053,0.005006720843010314,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__K interpreatation_Missing,0.003504885381641366,0.0048489489391867705,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,num__leukocyte count__missing,0.0033241389031396632,0.007433000554071876,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,num__lymphocyte count__missing,0.0027445888763216533,0.0038483909392701635,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__Cl interpreatation_physiological,0.002560451319490949,0.005725343203460794,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__Na interpreatation_upper limit,0.00195744011762793,0.0043769691649012355,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__Albumin interpretation_Missing,0.001733470199809721,0.0038761572037446794,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__lymphocyte count interpreatation_Missing,0.0014603953812883494,0.0032655433465874737,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__left shift_yes,0.0014149140064301353,0.003163843900694357,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,num__Initial total protein concentration (in g/l)__missing,0.0013476129334708906,0.003013354126598813,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__left shift_Missing,0.0010694282699364969,0.0023913143086380013,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__CREA interpretation_increased,0.0009620340042370898,0.002151173430140454,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__left shift_suspected,0.0009591030612559638,0.00214461964239648,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__Albumin interpretation_decreased,0.0,0.0,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__BARF diet_no,0.0,0.0,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__BARF diet_nono,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__BARF diet_yes ,0.0,0.0,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__BUN interpreattion_Missing,0.0,0.0,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__BUN interpreattion_decreased,0.0,0.0,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__CREA interpretation_Missing,0.0,0.0,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__CREA interpretation_decreased,0.0,0.0,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__Cl interpreatation_Missing,0.0,0.0,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__Cl interpreatation_decreased,0.0,0.0,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__Cl interpreatation_lower limit,0.0,0.0,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__K interpreatation_increased,0.0,0.0,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__K interpreatation_upper limit,0.0,0.0,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__Na interpreatation_Missing,0.0,0.0,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__Na interpreatation_increased,0.0,0.0,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__breed_Abessinier,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__breed_BKH,0.0,0.0,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__breed_BKH-Mischling,0.0,0.0,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__breed_Bengalkatze,0.0,0.0,5
